Refseq_ID	ENSMBL_ID	Gene_Name
NM_001166506	ENSMUSG00000020823	Sec14l1
NM_001166507	ENSMUSG00000020823	Sec14l1
NM_001166531	ENSMUSG00000006527	Sfmbt1
NM_001166532	ENSMUSG00000006527	Sfmbt1
NM_001166535	ENSMUSG00000046711	Hmga1
NM_001166536	ENSMUSG00000046711	Hmga1
NM_001166537	ENSMUSG00000046711	Hmga1
NM_001166539	ENSMUSG00000046711	Hmga1
NM_001166540	ENSMUSG00000046711	Hmga1
NM_001166541	ENSMUSG00000046711	Hmga1
NM_001166542	ENSMUSG00000046711	Hmga1
NM_001166543	ENSMUSG00000046711	Hmga1
NM_001166544	ENSMUSG00000046711	Hmga1
NM_001166545	ENSMUSG00000046711	Hmga1
NM_001166546	ENSMUSG00000046711	Hmga1
NM_001166547	ENSMUSG00000020454	Eif4enif1
NM_001166548	ENSMUSG00000020454	Eif4enif1
NM_001166549	ENSMUSG00000020454	Eif4enif1
NM_001166552	ENSMUSG00000102049	Zbed6
NM_001166553	ENSMUSG00000019189	Rnf145
NM_001166556	ENSMUSG00000044749	Abca6
NM_001166557	ENSMUSG00000044749	Abca6
NM_001166580	ENSMUSG00000048489	8430408G22Rik
NM_001166581	ENSMUSG00000079065	BC005561
NM_001166583	ENSMUSG00000036022	Fam122b
NM_001166584	ENSMUSG00000055320	Tead1
NM_001166585	ENSMUSG00000055320	Tead1
NM_001166589	ENSMUSG00000078812	Eif5a
NM_001166590	ENSMUSG00000078812	Eif5a
NM_001166591	ENSMUSG00000078812	Eif5a
NM_001166592	ENSMUSG00000078812	Eif5a
NM_001166593	ENSMUSG00000078812	Eif5a
NM_001166594	ENSMUSG00000078812	Eif5a
NM_001166595	ENSMUSG00000078812	Eif5a
NM_001166596	ENSMUSG00000078812	Eif5a
NM_001166597	ENSMUSG00000040479	Dgkz
NM_001166601	ENSMUSG00000094714	Gm16430
NM_001166603	ENSMUSG00000056486	Chn1
NM_001166604	ENSMUSG00000056486	Chn1
NM_001166619	ENSMUSG00000062170	Fmr1nb
NM_001166620	ENSMUSG00000062170	Fmr1nb
NM_001166623	ENSMUSG00000031134	Rbmx
NM_001166625	ENSMUSG00000029530	Ccr9
NM_001166627	ENSMUSG00000095677	Dynlt1f
NM_001166629	ENSMUSG00000092074	Dynlt1a
NM_001166630	ENSMUSG00000000579	Dynlt1c
NM_001166631	ENSMUSG00000040405	Havcr1
NM_001166632	ENSMUSG00000040405	Havcr1
NM_001166633	ENSMUSG00000040434	Large2
NM_001166634	ENSMUSG00000091101	Gm4302
NM_001166635	ENSMUSG00000008035	Mid1ip1
NM_001166636	ENSMUSG00000096640	Gm4312
NM_001166637	ENSMUSG00000094314	Gm4301
NM_001166638	ENSMUSG00000112931	Gm4303
NM_001166639	ENSMUSG00000112856	Gm4305
NM_001166640	ENSMUSG00000027425	Kat14
NM_001166641	ENSMUSG00000096744	Gm4307
NM_001166642	ENSMUSG00000059439	Bcas3
NM_001166643	ENSMUSG00000059439	Bcas3
NM_001166644	ENSMUSG00000013419	Zfp651
NM_001166645	ENSMUSG00000089857	Zfp882
NM_001166646	ENSMUSG00000096468	Gm16405
NM_001166648	ENSMUSG00000036916	Zfp280c
NM_001166649	ENSMUSG00000036916	Zfp280c
NM_001166650	ENSMUSG00000036916	Zfp280c
NM_001166651	ENSMUSG00000090799	Klhl33
NM_001166653	ENSMUSG00000020389	Cdkl3
NM_001166654	ENSMUSG00000020389	Cdkl3
NM_001166655	ENSMUSG00000020389	Cdkl3
NM_001166656	ENSMUSG00000020389	Cdkl3
NM_001166657	ENSMUSG00000020389	Cdkl3
NM_001166658	ENSMUSG00000090546	Cdr1
NM_001166659	ENSMUSG00000074579	Lekr1
NM_001166661	ENSMUSG00000032878	Ccdc85a
NM_001166665	ENSMUSG00000038685	Rtel1
NM_001166666	ENSMUSG00000038685	Rtel1
NM_001166667	ENSMUSG00000038685	Rtel1
NM_001166668	ENSMUSG00000038685	Rtel1
NM_001166669	ENSMUSG00000037275	Gemin5
NM_001166670	ENSMUSG00000037275	Gemin5
NM_001166671	ENSMUSG00000037275	Gemin5
NM_001166672	ENSMUSG00000074417	Gm14548
NM_001166685	ENSMUSG00000018372	Cep95
NM_001166705	ENSMUSG00000079502	Cfap77
NM_001166706	ENSMUSG00000074402	Vmn1r55
NM_001166707	ENSMUSG00000094385	Vmn1r123
NM_001166708	ENSMUSG00000094010	Vmn1r119
NM_001166709	ENSMUSG00000084136	Vmn1r207-ps
NM_001166710	ENSMUSG00000093696	Vmn1r7
NM_001166711	ENSMUSG00000095191	Gm5725
NM_001166712	ENSMUSG00000093853	Vmn1r151
NM_001166713	ENSMUSG00000095806	Gm5728
NM_001166714	ENSMUSG00000094001	Vmn1r122
NM_001166715	ENSMUSG00000093986	Vmn1r120
NM_001166716	ENSMUSG00000091638	Vmn1r113
NM_001166718	ENSMUSG00000115021	Vmn1r173
NM_001166719	ENSMUSG00000091012	Vmn1r34
NM_001166720	ENSMUSG00000093755	Vmn1r39
NM_001166721	ENSMUSG00000096859	Vmn1r176
NM_001166722	ENSMUSG00000094187	Vmn1r170
NM_001166723	ENSMUSG00000094011	Vmn1r94
NM_001166724	ENSMUSG00000094931	Vmn1r160
NM_001166725	ENSMUSG00000094879	Vmn1r129
NM_001166726	ENSMUSG00000093890	Vmn1r127
NM_001166727	ENSMUSG00000095632	Vmn1r175
NM_001166728	ENSMUSG00000091013	Vmn1r1
NM_001166729	ENSMUSG00000115404	Vmn1r31
NM_001166731	ENSMUSG00000095864	Vmn1r77
NM_001166732	ENSMUSG00000090794	Vmn1r60
NM_001166733	ENSMUSG00000094313	Vmn1r61
NM_001166734	ENSMUSG00000091652	Vmn1r57
NM_001166735	ENSMUSG00000091151	Vmn1r224
NM_001166736	ENSMUSG00000095201	Vmn1r91
NM_001166737	ENSMUSG00000096663	Vmn1r103
NM_001166738	ENSMUSG00000096903	Vmn1r104
NM_001166739	ENSMUSG00000095758	Vmn1r128
NM_001166740	ENSMUSG00000095309	Vmn1r125
NM_001166741	ENSMUSG00000094680	Vmn1r121
NM_001166742	ENSMUSG00000094589	Vmn1r118
NM_001166743	ENSMUSG00000096737	Vmn1r117
NM_001166744	ENSMUSG00000095973	Vmn1r116
NM_001166745	ENSMUSG00000091435	Vmn1r115
NM_001166746	ENSMUSG00000095768	Vmn1r111
NM_001166747	ENSMUSG00000095064	Vmn1r135
NM_001166748	ENSMUSG00000074311	Vmn1r139
NM_001166749	ENSMUSG00000095273	Vmn1r142
NM_001166750	ENSMUSG00000096071	Vmn1r143
NM_001166751	ENSMUSG00000093917	Gm8660
NM_001166752	ENSMUSG00000095383	Vmn1r152
NM_001166753	ENSMUSG00000094905	Vmn1r155
NM_001166754	ENSMUSG00000095619	Vmn1r157
NM_001166755	ENSMUSG00000094934	Vmn1r163
NM_001166756	ENSMUSG00000096601	Gm8720
NM_001166757	ENSMUSG00000094221	Vmn1r124
NM_001166758	ENSMUSG00000095931	Vmn1r159
NM_001166759	ENSMUSG00000095275	Vmn1r107
NM_001166835	ENSMUSG00000096735	Vmn1r79
NM_001166836	ENSMUSG00000094545	Vmn1r101
NM_001166837	ENSMUSG00000094085	Vmn1r114
NM_001166838	ENSMUSG00000096813	Vmn1r126
NM_001166839	ENSMUSG00000093941	Vmn1r131
NM_001166840	ENSMUSG00000094542	Vmn1r149
NM_001166841	ENSMUSG00000094700	Vmn1r158
NM_001166842	ENSMUSG00000074291	Vmn1r168
NM_001166843	ENSMUSG00000094602	Vmn1r169
NM_001166844	ENSMUSG00000096386	Vmn1r100
NM_001166847	ENSMUSG00000094284	Vmn1r112
NM_001166848	ENSMUSG00000094208	Vmn1r130
NM_001166849	ENSMUSG00000095962	Vmn1r137
NM_001166850	ENSMUSG00000095358	Vmn1r165
NM_001167146	ENSMUSG00000096761	Gm5726
NM_001167147	ENSMUSG00000094748	Gm8677
NM_001167148	ENSMUSG00000096152	Gm16442
NM_001167149	ENSMUSG00000096304	Gm16451
NM_001167150	ENSMUSG00000094149	Gm8453
NM_001167151	ENSMUSG00000094757	Gm4498
NM_001167152	ENSMUSG00000094981	Gm8653
NM_001167153	ENSMUSG00000094298	Gm6164
NM_001167154	ENSMUSG00000095081	Gm8693
NM_001167158	ENSMUSG00000095745	Gm4133
NM_001167159	ENSMUSG00000093871	Gm4187
NM_001167160	ENSMUSG00000096871	Gm10665
NM_001167161	ENSMUSG00000094762	Gm10670
NM_001167162	ENSMUSG00000095984	Gm4201
NM_001167163	ENSMUSG00000095837	Gm4141
NM_001167164	ENSMUSG00000092297	Gm4214
NM_001167165	ENSMUSG00000096513	Gm4175
NM_001167166	ENSMUSG00000094532	Gm4216
NM_001167167	ENSMUSG00000096760	Gm4177
NM_001167168	ENSMUSG00000096073	Vmn1r166
NM_001167169	ENSMUSG00000095163	Vmn1r138
NM_001167534	ENSMUSG00000115072	Vmn1r2
NM_001167535	ENSMUSG00000115466	Vmn1r3
NM_001167536	ENSMUSG00000070816	Vmn1r86
NM_001167537	ENSMUSG00000095902	Vmn1r88
NM_001167538	ENSMUSG00000094735	Vmn1r95
NM_001167539	ENSMUSG00000091539	Vmn1r238
NM_001167540	ENSMUSG00000046130	Vmn1r184
NM_001167541	ENSMUSG00000069295	Vmn1r196
NM_001167542	ENSMUSG00000082316	Vmn1r221
NM_001167567	ENSMUSG00000096776	Vmn1r186
NM_001167568	ENSMUSG00000096244	Vmn1r187
NM_001167573	ENSMUSG00000096348	Gm10666
NM_001167578	ENSMUSG00000052469	Tcp10c
NM_001167584	ENSMUSG00000091248	Gm17689
NM_001167586	ENSMUSG00000023093	Gm7257
NM_001167587	ENSMUSG00000091411	Gm5916
NM_001167588	ENSMUSG00000091174	Gm17677
NM_001167592	ENSMUSG00000094995	Pate3
NM_001167593	ENSMUSG00000091311	Spata31d1b
NM_001167669	ENSMUSG00000018287	Spag7
NM_001167673	ENSMUSG00000090738	Gm17727
NM_001167679	ENSMUSG00000022364	Tbc1d31
NM_001167680	ENSMUSG00000020806	Rhbdf2
NM_001167691	ENSMUSG00000029524	Sirt4
NM_001167694	ENSMUSG00000032641	Gpr19
NM_001167695	ENSMUSG00000032641	Gpr19
NM_001167696	ENSMUSG00000032641	Gpr19
NM_001167697	ENSMUSG00000032641	Gpr19
NM_001167699	ENSMUSG00000032641	Gpr19
NM_001167700	ENSMUSG00000032641	Gpr19
NM_001167705	ENSMUSG00000041536	Serpina3a
NM_001167730	ENSMUSG00000030254	Rad18
NM_001167736	ENSMUSG00000030086	Chchd6
NM_001167743	ENSMUSG00000115953	Slfn8
NM_001167743	ENSMUSG00000035208	Slfn8
NM_001167743	ENSMUSG00000116401	Slfn8
NM_001167745	ENSMUSG00000029684	Wasl
NM_001167746	ENSMUSG00000033987	Dnah17
NM_001167748	ENSMUSG00000063600	Egfem1
NM_001167750	ENSMUSG00000001376	Vps50
NM_001167751	ENSMUSG00000001376	Vps50
NM_001167757	ENSMUSG00000029517	Ankrd7
NM_001167763	ENSMUSG00000030323	Ift122
NM_001167767	ENSMUSG00000037669	Ldah
NM_001167768	ENSMUSG00000037669	Ldah
NM_001167775	ENSMUSG00000031060	Rbm10
NM_001167776	ENSMUSG00000031060	Rbm10
NM_001167777	ENSMUSG00000045215	Asxl3
NM_001167784	ENSMUSG00000001750	Tcirg1
NM_001167790	ENSMUSG00000060208	Defa17
NM_001167792	ENSMUSG00000079423	Gm3286
NM_001167793	ENSMUSG00000079423	Gm3286
NM_001167799	ENSMUSG00000010110	Stx5a
NM_001167818	ENSMUSG00000071573	Rnls
NM_001167828	ENSMUSG00000057596	Trim30d
NM_001167829	ENSMUSG00000024993	Fam45a
NM_001167831	ENSMUSG00000024970	Spindoc
NM_001167832	ENSMUSG00000045757	Zfp764
NM_001167860	ENSMUSG00000086040	Wipf3
NM_001167861	ENSMUSG00000086040	Wipf3
NM_001167864	ENSMUSG00000014418	Hps5
NM_001167872	ENSMUSG00000074221	Zfp568
NM_001167873	ENSMUSG00000074221	Zfp568
NM_001167875	ENSMUSG00000054827	Cyp2c50
NM_001167876	ENSMUSG00000078598	Skint5
NM_001167877	ENSMUSG00000054827	Cyp2c50
NM_001167878	ENSMUSG00000078598	Skint5
NM_001167879	ENSMUSG00000044576	Garem2
NM_001167883	ENSMUSG00000044864	Ankrd50
NM_001167884	ENSMUSG00000045098	Kmt5b
NM_001167885	ENSMUSG00000045098	Kmt5b
NM_001167886	ENSMUSG00000045098	Kmt5b
NM_001167887	ENSMUSG00000045098	Kmt5b
NM_001167888	ENSMUSG00000045098	Kmt5b
NM_001167889	ENSMUSG00000045098	Kmt5b
NM_001167891	ENSMUSG00000060275	Nrg2
NM_001167898	ENSMUSG00000042353	Frem3
NM_001167905	ENSMUSG00000025197	Cyp2c23
NM_001167906	ENSMUSG00000086564	Cd101
NM_001167907	ENSMUSG00000071633	Gm4952
NM_001167908	ENSMUSG00000072494	Ppp1r3e
NM_001167909	ENSMUSG00000041138	Nme8
NM_001167910	ENSMUSG00000031835	Mbtps1
NM_001167913	ENSMUSG00000073457	Smok2b
NM_001167914	ENSMUSG00000021189	Atxn3
NM_001167920	ENSMUSG00000079055	Slc8a3
NM_001167921	ENSMUSG00000031585	Gtf2e2
NM_001167922	ENSMUSG00000031585	Gtf2e2
NM_001167923	ENSMUSG00000091345	Col6a5
NM_001167925	ENSMUSG00000050875	A730017C20Rik
NM_001167936	ENSMUSG00000034645	Zyg11a
NM_001167937	ENSMUSG00000090891	D6Ertd527e
NM_001167938	ENSMUSG00000090891	D6Ertd527e
NM_001167939	ENSMUSG00000031858	Mau2
NM_001167944	ENSMUSG00000055991	Zkscan5
NM_001167946	ENSMUSG00000031728	Zfp821
NM_001167949	ENSMUSG00000026463	Atp2b4
NM_001167963	ENSMUSG00000035293	G2e3
NM_001167964	ENSMUSG00000035293	G2e3
NM_001167967	ENSMUSG00000031508	Ankrd10
NM_001167976	ENSMUSG00000035472	Slc25a21
NM_001167981	ENSMUSG00000031608	Galnt7
NM_001167983	ENSMUSG00000042700	Sipa1l1
NM_001167988	ENSMUSG00000047242	Taf9b
NM_001167991	ENSMUSG00000052566	Hook2
NM_001167994	ENSMUSG00000067369	Trmt2b
NM_001167995	ENSMUSG00000067369	Trmt2b
NM_001167996	ENSMUSG00000046999	1110032F04Rik
NM_001167997	ENSMUSG00000009670	Tex11
NM_001168218	ENSMUSG00000030980	Knop1
NM_001168219	ENSMUSG00000030980	Knop1
NM_001168220	ENSMUSG00000030980	Knop1
NM_001168223	ENSMUSG00000000248	Clec2g
NM_001168224	ENSMUSG00000000248	Clec2g
NM_001168225	ENSMUSG00000031422	Morf4l2
NM_001168226	ENSMUSG00000031422	Morf4l2
NM_001168227	ENSMUSG00000031422	Morf4l2
NM_001168228	ENSMUSG00000031422	Morf4l2
NM_001168229	ENSMUSG00000031422	Morf4l2
NM_001168230	ENSMUSG00000031422	Morf4l2
NM_001168240	ENSMUSG00000032251	Irak1bp1
NM_001168244	ENSMUSG00000003824	Syce2
NM_001168246	ENSMUSG00000003824	Syce2
NM_001168248	ENSMUSG00000035367	Rmi1
NM_001168250	ENSMUSG00000022369	Mtbp
NM_001168253	ENSMUSG00000046761	Fam83h
NM_001168255	ENSMUSG00000079020	Slc45a4
NM_001168256	ENSMUSG00000059900	Tmem40
NM_001168257	ENSMUSG00000059900	Tmem40
NM_001168260	ENSMUSG00000016552	Foxred2
NM_001168273	ENSMUSG00000039367	Sec24c
NM_001168274	ENSMUSG00000056293	Gsdmc2
NM_001168276	ENSMUSG00000054967	Zfp647
NM_001168277	ENSMUSG00000063568	Jazf1
NM_001168281	ENSMUSG00000027803	Wwtr1
NM_001168288	ENSMUSG00000033697	Arhgap39
NM_001168289	ENSMUSG00000038240	Pdss2
NM_001168290	ENSMUSG00000036054	Sugp2
NM_001168292	ENSMUSG00000025404	R3hdm2
NM_001168293	ENSMUSG00000025404	R3hdm2
NM_001168294	ENSMUSG00000066363	Serpina3f
NM_001168295	ENSMUSG00000066363	Serpina3f
NM_001168296	ENSMUSG00000032537	Ephb1
NM_001168297	ENSMUSG00000047648	Fbxo30
NM_001168304	ENSMUSG00000038481	Cdk19
NM_001168318	ENSMUSG00000022032	Scara5
NM_001168321	ENSMUSG00000040363	Bcor
NM_001168333	ENSMUSG00000028776	Tinagl1
NM_001168334	ENSMUSG00000096194	Btbd35f2
NM_001168337	ENSMUSG00000094727	Btbd35f5
NM_001168346	ENSMUSG00000023411	Nfatc4
NM_001168354	ENSMUSG00000041248	Kcnj1
NM_001168356	ENSMUSG00000028115	Bnipl
NM_001168358	ENSMUSG00000047583	Tyw3
NM_001168369	ENSMUSG00000056018	Ccdc7b
NM_001168371	ENSMUSG00000006676	Usp19
NM_001168372	ENSMUSG00000006676	Usp19
NM_001168373	ENSMUSG00000006676	Usp19
NM_001168382	ENSMUSG00000029629	Phf14
NM_001168386	ENSMUSG00000048924	Ccdc125
NM_001168392	ENSMUSG00000034353	Ramp1
NM_001168403	ENSMUSG00000049985	Ankrd55
NM_001168404	ENSMUSG00000049985	Ankrd55
NM_001168405	ENSMUSG00000049985	Ankrd55
NM_001168423	ENSMUSG00000073551	Spink13
NM_001168469	ENSMUSG00000005575	Ube2m
NM_001168470	ENSMUSG00000047260	Emc6
NM_001168471	ENSMUSG00000020483	Dynll2
NM_001168472	ENSMUSG00000020483	Dynll2
NM_001168475	ENSMUSG00000030555	Ttc23
NM_001168476	ENSMUSG00000030555	Ttc23
NM_001168477	ENSMUSG00000030555	Ttc23
NM_001168488	ENSMUSG00000024947	Men1
NM_001168488	ENSMUSG00000106695	Men1
NM_001168489	ENSMUSG00000024947	Men1
NM_001168489	ENSMUSG00000106695	Men1
NM_001168490	ENSMUSG00000024947	Men1
NM_001168490	ENSMUSG00000106695	Men1
NM_001168491	ENSMUSG00000024975	Pdcd4
NM_001168492	ENSMUSG00000024975	Pdcd4
NM_001168497	ENSMUSG00000019461	Plscr3
NM_001168498	ENSMUSG00000043924	Ncmap
NM_001168500	ENSMUSG00000043924	Ncmap
NM_001168501	ENSMUSG00000036036	Zfp57
NM_001168502	ENSMUSG00000036036	Zfp57
NM_001168503	ENSMUSG00000043366	Olfr78
NM_001168504	ENSMUSG00000033847	Pla2g4c
NM_001168505	ENSMUSG00000024976	Shoc2
NM_001168506	ENSMUSG00000045252	Zfp574
NM_001168507	ENSMUSG00000043284	Tmem11
NM_001168508	ENSMUSG00000053436	Mapk14
NM_001168509	ENSMUSG00000051314	Ffar2
NM_001168510	ENSMUSG00000051314	Ffar2
NM_001168511	ENSMUSG00000051314	Ffar2
NM_001168512	ENSMUSG00000051314	Ffar2
NM_001168513	ENSMUSG00000053436	Mapk14
NM_001168514	ENSMUSG00000053436	Mapk14
NM_001168515	ENSMUSG00000057132	Rpgrip1
NM_001168516	ENSMUSG00000006463	Zdhhc24
NM_001168517	ENSMUSG00000006463	Zdhhc24
NM_001168521	ENSMUSG00000050132	Sarm1
NM_001168525	ENSMUSG00000040451	Sgms1
NM_001168526	ENSMUSG00000040451	Sgms1
NM_001168535	ENSMUSG00000021982	Cdadc1
NM_001168536	ENSMUSG00000021982	Cdadc1
NM_001168537	ENSMUSG00000021982	Cdadc1
NM_001168538	ENSMUSG00000021982	Cdadc1
NM_001168539	ENSMUSG00000049580	Tsku
NM_001168540	ENSMUSG00000049580	Tsku
NM_001168541	ENSMUSG00000049580	Tsku
NM_001168557	ENSMUSG00000111375	A830010M20Rik
NM_001168561	ENSMUSG00000033961	Zfp446
NM_001168562	ENSMUSG00000033961	Zfp446
NM_001168564	ENSMUSG00000043673	Kcns3
NM_001168568	ENSMUSG00000031360	Ctps2
NM_001168569	ENSMUSG00000031360	Ctps2
NM_001168571	ENSMUSG00000031360	Ctps2
NM_001168572	ENSMUSG00000035390	Brsk1
NM_001168577	ENSMUSG00000051147	Nat2
NM_001168578	ENSMUSG00000051579	Tceal8
NM_001168588	ENSMUSG00000071235	Vrtn
NM_001168589	ENSMUSG00000071235	Vrtn
NM_001168590	ENSMUSG00000025528	2010106E10Rik
NM_001168591	ENSMUSG00000047866	Lonp2
NM_001168592	ENSMUSG00000075486	Commd6
NM_001168600	ENSMUSG00000025266	Gnl3l
NM_001168602	ENSMUSG00000075599	Smok3a
NM_001168615	ENSMUSG00000049625	Tifab
NM_001168620	ENSMUSG00000023960	Enpp5
NM_001168621	ENSMUSG00000033545	Znrf1
NM_001168622	ENSMUSG00000033545	Znrf1
NM_001168623	ENSMUSG00000033545	Znrf1
NM_001168624	ENSMUSG00000045912	C2cd4c
NM_001168643	ENSMUSG00000021612	Slc6a18
NM_001168644	ENSMUSG00000021612	Slc6a18
NM_001168645	ENSMUSG00000021612	Slc6a18
NM_001168646	ENSMUSG00000021612	Slc6a18
NM_001168652	ENSMUSG00000093445	Lrch4
NM_001168655	ENSMUSG00000020027	Socs2
NM_001168656	ENSMUSG00000020027	Socs2
NM_001168657	ENSMUSG00000020027	Socs2
NM_001168658	ENSMUSG00000021578	Ccdc127
NM_001168659	ENSMUSG00000021578	Ccdc127
NM_001168660	ENSMUSG00000068246	Apol9b
NM_001168667	ENSMUSG00000020523	Fam114a2
NM_001168668	ENSMUSG00000020523	Fam114a2
NM_001168672	ENSMUSG00000022385	Gtse1
NM_001168679	ENSMUSG00000034127	Tspan8
NM_001168680	ENSMUSG00000034127	Tspan8
NM_001168684	ENSMUSG00000020023	Tmcc3
NM_001168693	ENSMUSG00000022468	Endou
NM_001169114	ENSMUSG00000051650	B3gnt2
NM_001169131	ENSMUSG00000034575	Papd7
NM_001169153	ENSMUSG00000047798	Cd300lf
NM_001169576	ENSMUSG00000039159	Ube2h
NM_001169577	ENSMUSG00000039159	Ube2h
NM_001170332	ENSMUSG00000030148	Clec4a2
NM_001170333	ENSMUSG00000030148	Clec4a2
NM_001170341	ENSMUSG00000030120	Mlf2
NM_001170395	ENSMUSG00000008845	Cd163
NM_001170401	ENSMUSG00000046157	Tmem229b
NM_001170419	ENSMUSG00000030069	Prok2
NM_001170430	ENSMUSG00000021432	Slc35b3
NM_001170431	ENSMUSG00000021432	Slc35b3
NM_001170433	ENSMUSG00000016487	Ppfibp1
NM_001170454	ENSMUSG00000029196	Tada2b
NM_001170479	ENSMUSG00000042992	Borcs5
NM_001170485	ENSMUSG00000079426	Arpc4
NM_001170486	ENSMUSG00000079426	Arpc4
NM_001170488	ENSMUSG00000054226	Tprkb
NM_001170489	ENSMUSG00000030051	Aplf
NM_001170537	ENSMUSG00000005583	Mef2c
NM_001170540	ENSMUSG00000021660	Btf3
NM_001170552	ENSMUSG00000000600	Krit1
NM_001170555	ENSMUSG00000028944	Prkag2
NM_001170556	ENSMUSG00000028944	Prkag2
NM_001170561	ENSMUSG00000036529	Sbf1
NM_001170567	ENSMUSG00000037426	Depdc5
NM_001170571	ENSMUSG00000057068	Fam47e
NM_001170591	ENSMUSG00000029993	Nfu1
NM_001170632	ENSMUSG00000026415	Fcamr
NM_001170638	ENSMUSG00000021335	Slc17a1
NM_001170641	ENSMUSG00000061815	Rufy4
NM_001170643	ENSMUSG00000038068	Rnf144b
NM_001170669	ENSMUSG00000021684	Pde8b
NM_001170691	ENSMUSG00000035151	Elmod2
NM_001170694	ENSMUSG00000022106	Rcbtb2
NM_001170705	ENSMUSG00000090326	Dthd1
NM_001170710	ENSMUSG00000048175	Asb8
NM_001170711	ENSMUSG00000048175	Asb8
NM_001170742	ENSMUSG00000031959	Wdr59
NM_001170743	ENSMUSG00000031959	Wdr59
NM_001170744	ENSMUSG00000030970	Ctbp2
NM_001170745	ENSMUSG00000040003	Magi2
NM_001170746	ENSMUSG00000040003	Magi2
NM_001170748	ENSMUSG00000116208	Asb14
NM_001170748	ENSMUSG00000021898	Asb14
NM_001170785	ENSMUSG00000040675	Mthfd1l
NM_001170786	ENSMUSG00000040675	Mthfd1l
NM_001170787	ENSMUSG00000039488	Cntn5
NM_001170788	ENSMUSG00000054320	Lrrc36
NM_001170789	ENSMUSG00000054320	Lrrc36
NM_001170800	ENSMUSG00000064065	Ipcef1
NM_001170801	ENSMUSG00000064065	Ipcef1
NM_001170802	ENSMUSG00000064065	Ipcef1
NM_001170847	ENSMUSG00000043639	Rbm20
NM_001170848	ENSMUSG00000029823	Luc7l2
NM_001170849	ENSMUSG00000029823	Luc7l2
NM_001170851	ENSMUSG00000030187	Klra2
NM_001170853	ENSMUSG00000090272	Mndal
NM_001170855	ENSMUSG00000033949	Trim36
NM_001170858	ENSMUSG00000051721	Wdcp
NM_001170866	ENSMUSG00000051359	Ncald
NM_001170867	ENSMUSG00000051359	Ncald
NM_001170868	ENSMUSG00000051359	Ncald
NM_001170869	ENSMUSG00000064030	Pym1
NM_001170884	ENSMUSG00000079162	Trim43b
NM_001170907	ENSMUSG00000032386	Trip4
NM_001170911	ENSMUSG00000023048	Prr13
NM_001170912	ENSMUSG00000031026	Trim66
NM_001170913	ENSMUSG00000031026	Trim66
NM_001170918	ENSMUSG00000059887	Olfr1507
NM_001170935	ENSMUSG00000035835	Plppr3
NM_001170953	ENSMUSG00000009535	Rnmt
NM_001170954	ENSMUSG00000047878	A4galt
NM_001170955	ENSMUSG00000082211	Defa27
NM_001170959	ENSMUSG00000024992	Pde6c
NM_001170960	ENSMUSG00000024505	Dtwd2
NM_001170966	ENSMUSG00000024400	Wdr33
NM_001170967	ENSMUSG00000024400	Wdr33
NM_001170970	ENSMUSG00000024400	Wdr33
NM_001170975	ENSMUSG00000031970	Dbndd1
NM_001170976	ENSMUSG00000031970	Dbndd1
NM_001170978	ENSMUSG00000057880	Abat
NM_001170981	ENSMUSG00000060373	Hnrnpc
NM_001170982	ENSMUSG00000060373	Hnrnpc
NM_001170983	ENSMUSG00000060373	Hnrnpc
NM_001170984	ENSMUSG00000060373	Hnrnpc
NM_001170985	ENSMUSG00000041734	Kirrel
NM_001171000	ENSMUSG00000029772	Ahcyl2
NM_001171001	ENSMUSG00000029772	Ahcyl2
NM_001171002	ENSMUSG00000021263	Degs2
NM_001171003	ENSMUSG00000068587	Mgam
NM_001171004	ENSMUSG00000024070	Prkd3
NM_001171005	ENSMUSG00000024070	Prkd3
NM_001171007	ENSMUSG00000038058	Nod1
NM_001171010	ENSMUSG00000116373	Slc14a1
NM_001171010	ENSMUSG00000059336	Slc14a1
NM_001171011	ENSMUSG00000116373	Slc14a1
NM_001171011	ENSMUSG00000059336	Slc14a1
NM_001171024	ENSMUSG00000074141	Gm21948
NM_001171026	ENSMUSG00000040462	Os9
NM_001171034	ENSMUSG00000023010	Tmbim6
NM_001171035	ENSMUSG00000023010	Tmbim6
NM_001171036	ENSMUSG00000023010	Tmbim6
NM_001171052	ENSMUSG00000055817	Mta3
NM_001171053	ENSMUSG00000055817	Mta3
NM_001171054	ENSMUSG00000055817	Mta3
NM_001171147	ENSMUSG00000053110	Yap1
NM_001171187	ENSMUSG00000027375	Mal
NM_001171512	ENSMUSG00000061462	Obscn
NM_001171582	ENSMUSG00000040354	Mars
NM_001171615	ENSMUSG00000010505	Myt1
NM_001171616	ENSMUSG00000010505	Myt1
NM_001171640	ENSMUSG00000078129	Actl10
NM_001171680	ENSMUSG00000010505	Myt1
NM_001171739	ENSMUSG00000028416	Bag1
NM_001171801	ENSMUSG00000055963	Triqk
NM_001172054	ENSMUSG00000073889	Il11ra1
NM_001172055	ENSMUSG00000028167	Bdh2
NM_001172062	ENSMUSG00000041891	Lman1
NM_001172064	ENSMUSG00000038637	Lrrc56
NM_001172065	ENSMUSG00000038637	Lrrc56
NM_001172068	ENSMUSG00000051705	Senp8
NM_001172069	ENSMUSG00000051705	Senp8
NM_001172070	ENSMUSG00000051705	Senp8
NM_001172071	ENSMUSG00000051705	Senp8
NM_001172072	ENSMUSG00000047031	Vmn1r68
