chr	start	end	id	strand
chrX	7229775	7229850	ENSMUSG00000089127.1	+
chr1	118453355	118453485	ENSMUSG00000077257.1	-
chr2	49398395	49398515	ENSMUSG00000077769.1	-
chrX	155139896	155140027	ENSMUSG00000088232.1	+
chr14	37224869	37225001	ENSMUSG00000077306.1	+
chr3	133588406	133588537	ENSMUSG00000077336.1	-
chr9	73795128	73795257	ENSMUSG00000084426.1	-
chr4	15911567	15911634	ENSMUSG00000088055.1	-
chr8	89667173	89667304	ENSMUSG00000088883.1	-
chr5	100831281	100831414	ENSMUSG00000077354.1	+
chr2	104228112	104228238	ENSMUSG00000089606.1	-
chr5	21117083	21117201	ENSMUSG00000087813.1	-
chr12	31258933	31259062	ENSMUSG00000065200.1	-
chr7	59593294	59593372	ENSMUSG00000096028.1	-
chrX	37667233	37667376	ENSMUSG00000064697.1	-
chr7	59464420	59464498	ENSMUSG00000095581.1	-
chr2	121004089	121004302	ENSMUSG00000065883.2	+
chr1	160645573	160645704	ENSMUSG00000077759.1	+
chr9	120129351	120129553	ENSMUSG00000064380.1	+
chr7	59430536	59430614	ENSMUSG00000094548.1	-
chr10	11959880	11960005	ENSMUSG00000089023.1	+
chr15	73349799	73349921	ENSMUSG00000088005.1	+
chr5	62523408	62523539	ENSMUSG00000094239.1	-
chr4	74635214	74635351	ENSMUSG00000099334.1	+
chr4	41213776	41213853	ENSMUSG00000093562.1	-
chr7	59598904	59598982	ENSMUSG00000096565.1	-
chr2	151073655	151073790	ENSMUSG00000088433.1	-
chr4	117154093	117154162	ENSMUSG00000064542.1	-
chr17	36842226	36842352	ENSMUSG00000065651.1	-
chr1	123389801	123389931	ENSMUSG00000077472.1	-
chr17	63202738	63202854	ENSMUSG00000088853.1	+
chr10	66483553	66483682	ENSMUSG00000077439.1	+
chr8	95756950	95757082	ENSMUSG00000105690.1	-
chr7	59606390	59606468	ENSMUSG00000094554.1	-
chr2	53700847	53700955	ENSMUSG00000088628.1	-
chr7	59602647	59602725	ENSMUSG00000094753.1	-
chr6	97162817	97162947	ENSMUSG00000065728.1	-
chr7	124146281	124146409	ENSMUSG00000077176.1	+
chr7	121040344	121040480	ENSMUSG00000099280.1	-
chrX	113878331	113878454	ENSMUSG00000087765.1	-
chr4	132309465	132309600	ENSMUSG00000065097.1	+
chr14	100418483	100418614	ENSMUSG00000094585.1	+
chr15	38058285	38058420	ENSMUSG00000065852.1	+
chr10	77913798	77913851	ENSMUSG00000093443.1	-
chr15	80080251	80080343	ENSMUSG00000088219.1	-
chr6	135584192	135584306	ENSMUSG00000065187.1	+
chr16	87418909	87419044	ENSMUSG00000065647.1	-
chr3	90010595	90010730	ENSMUSG00000077569.1	-
chr7	59894620	59894713	ENSMUSG00000096475.1	-
chr10	11330489	11330626	ENSMUSG00000087802.1	-
chr6	123424556	123424687	ENSMUSG00000093944.1	-
chr19	8725092	8725156	ENSMUSG00000065378.1	+
chrX	169695781	169695899	ENSMUSG00000065716.1	-
chr2	54100430	54100562	ENSMUSG00000064596.1	+
chr18	74906314	74906434	ENSMUSG00000088144.1	-
chr7	59424924	59425002	ENSMUSG00000093830.1	-
chr8	14273181	14273311	ENSMUSG00000088311.1	-
chr15	69685578	69685706	ENSMUSG00000080689.1	-
chr7	142153864	142153957	ENSMUSG00000088784.1	+
chr8	91061265	91061396	ENSMUSG00000089179.1	-
chr17	91812491	91812620	ENSMUSG00000087942.1	-
chr3	112198915	112199041	ENSMUSG00000089017.1	-
chr18	87925431	87925564	ENSMUSG00000077641.1	-
chr7	59524028	59524105	ENSMUSG00000094093.1	-
chr5	87764679	87764801	ENSMUSG00000095333.1	-
chr9	20890757	20890836	ENSMUSG00000089571.1	+
chr6	14113316	14113431	ENSMUSG00000088975.1	+
chrX	70693476	70693607	ENSMUSG00000077275.1	+
chr13	62543203	62543335	ENSMUSG00000096563.1	-
chr6	25078772	25078903	ENSMUSG00000087867.1	-
chrCHR_CAST_EI_MMCHR11_CTG4	71326757	71326890	ENSMUSG00000116200.1	-
chrCHR_CAST_EI_MMCHR11_CTG4	71396056	71396189	ENSMUSG00000116492.1	-
chrCHR_MG3712_PATCH	50791553	50791687	ENSMUSG00000116279.1	-
chrCHR_MG4243_PATCH	121509472	121509603	ENSMUSG00000116221.1	+
chrCHR_MG117_PATCH	108795242	108795388	ENSMUSG00000106830.1	-
chrCHR_PWK_PHJ_MMCHR11_CTG3	83244311	83244407	ENSMUSG00000116460.1	+
chrCHR_MG3700_PATCH	77682614	77682745	ENSMUSG00000116205.1	+
chrCHR_CAST_EI_MMCHR11_CTG5	83247148	83247244	ENSMUSG00000116206.1	+
chrCHR_MG153_PATCH	4078297	4078512	ENSMUSG00000105417.1	-
chrCHR_MG153_PATCH	4078298	4078512	ENSMUSG00000097846.3	-
chrCHR_MG74_PATCH	58041516	58041651	ENSMUSG00000116186.1	-
chrCHR_WSB_EIJ_MMCHR11_CTG3	83252859	83252955	ENSMUSG00000116026.1	+
chrCHR_MG4261_PATCH	38903730	38903860	ENSMUSG00000107267.2	+
chrCHR_MG74_PATCH	58146616	58146742	ENSMUSG00000116476.1	+
chrCHR_MG3833_MG4220_PATCH	18240717	18240842	ENSMUSG00000099277.3	-
chrCHR_MG4180_PATCH	109631582	109631656	ENSMUSG00000098352.2	+
chrCHR_MG4180_PATCH	109634276	109634350	ENSMUSG00000098398.2	+
chrCHR_MG4180_PATCH	109636520	109636592	ENSMUSG00000099084.2	+
chrCHR_MG4180_PATCH	109641530	109641602	ENSMUSG00000098902.2	+
chrCHR_MG4180_PATCH	109644256	109644326	ENSMUSG00000099288.2	+
chrCHR_MG4180_PATCH	109646637	109646710	ENSMUSG00000098250.2	+
chrCHR_MG4180_PATCH	109650125	109650196	ENSMUSG00000099306.2	+
chrCHR_MG4180_PATCH	109651932	109652004	ENSMUSG00000099046.2	+
chrCHR_MG4180_PATCH	109653541	109653612	ENSMUSG00000098581.2	+
chrCHR_MG4180_PATCH	109655135	109655206	ENSMUSG00000098971.2	+
chrCHR_MG4180_PATCH	109656853	109656924	ENSMUSG00000098372.2	+
chrCHR_MG4180_PATCH	109657633	109657704	ENSMUSG00000098673.2	+
chrCHR_MG4180_PATCH	109658915	109658986	ENSMUSG00000099026.2	+
chrCHR_MG4180_PATCH	109674421	109674502	ENSMUSG00000098637.2	+
chrCHR_MG4180_PATCH	109680453	109680521	ENSMUSG00000098523.2	+
chrCHR_MG4180_PATCH	109681308	109681382	ENSMUSG00000098337.2	+
chrCHR_MG4180_PATCH	109682027	109682101	ENSMUSG00000098556.2	+
chrCHR_MG4180_PATCH	109682892	109682966	ENSMUSG00000099271.2	+
chrCHR_MG4180_PATCH	109683502	109683576	ENSMUSG00000099038.2	+
chrCHR_MG4180_PATCH	109685470	109685542	ENSMUSG00000098616.2	+
chrCHR_MG4180_PATCH	109687306	109687377	ENSMUSG00000099029.2	+
chrCHR_MG4180_PATCH	109688563	109688633	ENSMUSG00000098277.2	+
chrCHR_MG4180_PATCH	109689985	109690052	ENSMUSG00000098517.2	+
chrCHR_MG4266_PATCH	130701520	130701592	ENSMUSG00000106727.1	+
chr13	94517162	94517275	ENSMUSG00000084423.1	+
chr19	44808406	44808529	ENSMUSG00000098952.1	+
chr1	73855477	73855575	ENSMUSG00000098504.1	-
chr10	78340150	78340207	ENSMUSG00000098885.1	-
chr4	40722917	40722995	ENSMUSG00000065452.1	+
chr15	35660970	35661047	ENSMUSG00000077890.1	-
chr6	137919858	137919971	ENSMUSG00000094466.1	-
chr12	108658620	108658718	ENSMUSG00000065436.1	+
chr3	118433857	118433929	ENSMUSG00000065569.2	+
chr4	56895229	56895298	ENSMUSG00000065544.1	-
chr17	34845101	34845167	ENSMUSG00000098460.1	-
chr1	184822407	184822488	ENSMUSG00000088559.1	-
chr13	113035983	113036091	ENSMUSG00000076146.1	+
chr3	34638464	34638542	ENSMUSG00000104797.1	+
chr18	89733005	89733074	ENSMUSG00000092792.1	+
chr1	85012367	85012446	ENSMUSG00000098842.1	+
chr6	124717914	124717985	ENSMUSG00000065474.1	-
chr7	3219189	3219270	ENSMUSG00000078041.1	+
chr9	110281287	110281409	ENSMUSG00000098973.1	+
chr19	22750605	22750672	ENSMUSG00000065507.3	+
chr2	10491336	10491425	ENSMUSG00000095536.1	+
chr3	45160695	45160801	ENSMUSG00000099285.1	+
chr4	156054896	156054985	ENSMUSG00000065400.1	-
chr11	74868127	74868194	ENSMUSG00000098317.1	-
chr16	24827855	24827940	ENSMUSG00000065494.1	+
chr9	112489616	112489722	ENSMUSG00000098345.1	+
chrX	66792595	66792661	ENSMUSG00000070104.1	-
chr16	10273750	10273821	ENSMUSG00000093251.1	+
chr10	78408475	78408545	ENSMUSG00000098376.1	-
chr15	89888952	89889052	ENSMUSG00000096784.1	-
chr6	38507325	38507393	ENSMUSG00000098285.1	+
chr4	123616420	123616521	ENSMUSG00000099005.1	+
chr4	101346945	101347027	ENSMUSG00000065451.1	-
chr16	33105361	33105445	ENSMUSG00000088860.1	+
chr9	108568777	108568861	ENSMUSG00000065579.1	+
chrX	26579877	26579982	ENSMUSG00000099097.1	-
chr17	65509368	65509492	ENSMUSG00000092908.1	+
chr7	18017252	18017352	ENSMUSG00000093207.1	-
chr9	78478528	78478635	ENSMUSG00000076138.1	-
chrX	167028889	167028997	ENSMUSG00000076371.1	-
chr4	129684500	129684571	ENSMUSG00000098422.1	-
chr6	31062660	31062747	ENSMUSG00000065610.1	-
chr2	10465287	10465407	ENSMUSG00000080500.1	+
chr1	82839446	82839498	ENSMUSG00000093782.1	+
chr1	34433121	34433199	ENSMUSG00000092852.1	-
chr5	138165523	138165610	ENSMUSG00000065527.1	-
chr4	133195655	133195716	ENSMUSG00000099202.1	+
chr12	30457968	30458071	ENSMUSG00000088872.1	-
chr4	80967444	80967539	ENSMUSG00000099273.1	+
chrX	66777256	66777332	ENSMUSG00000094184.1	-
chr11	87756841	87756955	ENSMUSG00000065420.2	-
chrX	53048299	53048367	ENSMUSG00000076399.1	-
chr2	121450670	121450770	ENSMUSG00000080374.1	-
chr3	127545624	127545689	ENSMUSG00000065447.1	+
chr3	118434721	118434830	ENSMUSG00000093000.1	+
chr3	82106247	82106309	ENSMUSG00000098712.1	-
chrX	150547385	150547445	ENSMUSG00000099172.1	-
chr4	15942900	15942991	ENSMUSG00000098929.1	-
chr12	112130880	112130955	ENSMUSG00000065574.1	+
chr9	73005201	73005322	ENSMUSG00000098589.2	+
chr11	70705990	70706059	ENSMUSG00000105932.1	+
chrX	72262224	72262308	ENSMUSG00000070138.1	-
chr17	24240884	24240947	ENSMUSG00000099123.1	-
chr14	49573214	49573318	ENSMUSG00000089187.1	-
chr5	98475556	98475664	ENSMUSG00000105814.1	-
chr15	36583544	36583669	ENSMUSG00000105494.1	+
chr7	32917146	32917266	ENSMUSG00000096142.1	+
chrX	74023528	74023598	ENSMUSG00000092907.1	-
chr12	91791610	91791674	ENSMUSG00000077096.1	-
chr8	38252133	38252202	ENSMUSG00000065457.3	-
chr13	60293672	60293772	ENSMUSG00000080668.1	+
chr14	56082401	56082468	ENSMUSG00000098961.1	-
chr6	107448819	107448944	ENSMUSG00000098494.1	-
chr11	69980692	69980814	ENSMUSG00000105100.1	+
chr13	63300484	63300557	ENSMUSG00000065599.2	+
chr2	131040319	131040398	ENSMUSG00000098686.1	-
chr12	116242504	116242567	ENSMUSG00000096694.1	-
chr2	87256795	87256904	ENSMUSG00000098776.1	-
chr8	27615817	27615904	ENSMUSG00000104743.1	+
chr7	6803587	6803670	ENSMUSG00000092815.1	+
chr17	82235877	82235978	ENSMUSG00000094390.1	+
chr11	119390472	119390561	ENSMUSG00000088015.1	+
chr1	29421488	29421612	ENSMUSG00000099257.1	+
chr15	25948227	25948287	ENSMUSG00000098719.1	+
chr18	68260920	68260973	ENSMUSG00000098253.1	-
chr15	82393919	82393978	ENSMUSG00000098677.1	-
chr6	90681370	90681520	ENSMUSG00000093052.2	-
chr4	76958422	76958498	ENSMUSG00000092829.1	-
chr8	70895508	70895570	ENSMUSG00000098710.1	-
chr11	50232245	50232306	ENSMUSG00000098474.1	+
chr16	74341990	74342067	ENSMUSG00000104758.1	-
chr2	103843418	103843513	ENSMUSG00000076233.1	-
chrX	20863126	20863182	ENSMUSG00000093408.1	-
chr7	64956499	64956576	ENSMUSG00000093212.1	-
chr11	102659572	102659680	ENSMUSG00000076129.1	-
chr5	114404468	114404539	ENSMUSG00000098731.1	+
chr12	109743418	109743496	ENSMUSG00000065561.2	+
chr15	73254815	73254882	ENSMUSG00000065612.1	-
chr18	35952824	35952907	ENSMUSG00000080529.1	+
chr7	61733685	61733782	ENSMUSG00000092997.1	-
chr2	164354313	164354383	ENSMUSG00000098489.1	-
chr4	136609806	136609864	ENSMUSG00000092747.1	-
chr2	159069863	159069955	ENSMUSG00000104628.1	+
chr11	65734733	65734832	ENSMUSG00000076460.1	-
chr4	44865307	44865431	ENSMUSG00000094842.1	+
chr3	96239868	96240005	ENSMUSG00000106587.1	+
chr17	56172013	56172125	ENSMUSG00000106418.1	-
chr1	92850378	92850443	ENSMUSG00000065470.1	+
chr5	141029928	141030008	ENSMUSG00000104683.1	+
chr2	32712807	32712888	ENSMUSG00000093280.1	-
chr7	11303218	11303338	ENSMUSG00000080350.1	-
chr6	3721301	3721385	ENSMUSG00000076357.2	-
chr3	35325614	35325705	ENSMUSG00000093499.1	+
chr8	108936860	108936938	ENSMUSG00000093241.1	+
chr12	59237107	59237176	ENSMUSG00000098820.1	-
chr10	93963768	93963863	ENSMUSG00000065607.1	-
chr11	53409197	53409267	ENSMUSG00000105908.1	+
chr1	67973676	67973777	ENSMUSG00000096031.1	+
chrX	66796805	66796875	ENSMUSG00000077119.1	-
chr2	10483966	10484055	ENSMUSG00000094659.1	+
chr1	88015924	88016033	ENSMUSG00000095942.1	+
chr12	108721848	108721924	ENSMUSG00000093173.1	-
chr12	75909103	75909185	ENSMUSG00000092922.1	+
chr2	168178158	168178252	ENSMUSG00000092923.1	-
chr9	75911422	75911525	ENSMUSG00000105435.1	+
chr7	17610766	17610875	ENSMUSG00000096673.1	+
chrX	66822656	66822713	ENSMUSG00000106642.1	-
chr16	13453840	13453926	ENSMUSG00000065449.1	+
chr11	75173388	75173478	ENSMUSG00000065590.1	+
chr12	109585813	109585873	ENSMUSG00000105210.1	-
chr15	82782082	82782141	ENSMUSG00000098695.1	-
chr18	68739400	68739501	ENSMUSG00000099300.1	+
chr18	47154373	47154422	ENSMUSG00000093158.1	+
chr4	150068454	150068555	ENSMUSG00000065493.1	+
chr14	62865542	62865651	ENSMUSG00000098858.1	+
chr18	5614473	5614583	ENSMUSG00000080543.1	+
chr5	64107407	64107502	ENSMUSG00000093780.1	-
chr2	92592206	92592277	ENSMUSG00000099223.1	+
chrX	60394403	60394492	ENSMUSG00000070081.2	-
chr10	60960723	60960844	ENSMUSG00000080526.1	+
chr12	30557914	30558120	ENSMUSG00000092653.2	-
chr3	108567310	108567383	ENSMUSG00000092718.1	-
chr5	136991433	136991541	ENSMUSG00000076240.1	+
chr7	33808117	33808226	ENSMUSG00000094428.1	+
chr7	10958437	10958512	ENSMUSG00000094316.1	-
chr4	120769534	120769622	ENSMUSG00000065490.1	-
chr18	81992010	81992080	ENSMUSG00000093036.1	-
chr11	52126746	52126836	ENSMUSG00000092870.1	+
chr4	45500485	45500552	ENSMUSG00000088892.1	-
chr6	87981614	87981741	ENSMUSG00000106591.1	-
chr10	120974301	120974425	ENSMUSG00000093030.1	-
chr12	69159437	69159506	ENSMUSG00000106279.1	+
chr8	90790826	90790947	ENSMUSG00000105321.1	-
chr15	12572430	12572530	ENSMUSG00000095516.1	-
chr13	9834469	9834525	ENSMUSG00000088609.1	-
chr6	18449271	18449340	ENSMUSG00000093271.1	-
chr15	101678032	101678160	ENSMUSG00000105899.1	+
chr9	15314842	15314908	ENSMUSG00000106649.1	+
chr9	108844478	108844563	ENSMUSG00000093067.1	+
chr10	78434799	78434902	ENSMUSG00000098932.1	+
chr5	36301570	36301628	ENSMUSG00000098884.1	+
chr10	58965543	58965746	ENSMUSG00000098653.1	+
chr11	46102270	46102390	ENSMUSG00000098942.1	+
chr7	43204352	43204461	ENSMUSG00000077022.1	+
chr1	176879834	176879913	ENSMUSG00000093132.1	+
chr9	20914090	20914164	ENSMUSG00000099147.1	-
chr17	26948056	26948119	ENSMUSG00000093118.1	-
chr12	89431336	89431401	ENSMUSG00000080680.1	+
chr7	61837311	61837402	ENSMUSG00000077107.1	-
chr10	81504622	81504718	ENSMUSG00000076228.1	+
chr8	23101972	23102096	ENSMUSG00000106605.1	-
chr2	10487704	10487824	ENSMUSG00000094506.1	+
chr1	117561230	117561339	ENSMUSG00000098815.1	+
chr11	72388756	72388864	ENSMUSG00000098658.1	+
chr1	76509560	76509643	ENSMUSG00000098611.1	+
chr16	32267450	32267583	ENSMUSG00000088985.1	-
chr9	108103129	108103246	ENSMUSG00000106657.1	-
chr12	109587943	109588031	ENSMUSG00000095147.1	+
chr8	34166622	34166712	ENSMUSG00000098785.1	-
chr9	4371269	4371335	ENSMUSG00000094086.1	-
chr6	118085192	118085263	ENSMUSG00000098583.1	+
chr12	109710175	109710256	ENSMUSG00000065477.3	+
chr18	61397813	61397925	ENSMUSG00000093026.1	+
chr15	85706603	85706697	ENSMUSG00000065608.1	+
chr13	114580495	114580594	ENSMUSG00000093072.1	+
chr17	35917889	35917969	ENSMUSG00000084751.1	+
chr18	11840361	11840438	ENSMUSG00000084565.1	-
chr2	25442779	25442834	ENSMUSG00000104741.1	+
chr15	102671792	102671866	ENSMUSG00000076009.1	-
chr16	44013852	44013977	ENSMUSG00000093912.1	+
chr7	75757259	75757368	ENSMUSG00000076961.1	-
chr9	9670941	9671041	ENSMUSG00000092776.1	-
chr9	21075497	21075588	ENSMUSG00000098907.1	-
chr2	10496791	10496914	ENSMUSG00000095151.1	+
chr17	64321526	64321615	ENSMUSG00000080455.1	-
chr7	19181465	19181562	ENSMUSG00000065543.1	+
chr1	137966639	137966718	ENSMUSG00000065458.1	+
chr2	10496268	10496355	ENSMUSG00000096360.1	+
chr17	56418846	56418909	ENSMUSG00000098339.1	-
chr5	134572076	134572114	ENSMUSG00000106323.1	+
chr3	57616609	57616722	ENSMUSG00000098401.1	+
chr4	137183987	137184062	ENSMUSG00000093294.1	+
chr1	14182578	14182677	ENSMUSG00000095853.1	+
chr6	69516481	69516550	ENSMUSG00000104690.1	+
chr4	40850320	40850402	ENSMUSG00000095871.1	-
chr9	25812855	25812975	ENSMUSG00000095069.1	-
chr4	23626656	23626745	ENSMUSG00000089323.1	-
chr2	165908051	165908175	ENSMUSG00000092796.1	-
chr4	88122040	88122125	ENSMUSG00000070077.2	+
chr5	144896732	144896816	ENSMUSG00000098822.1	-
chr2	10484196	10484282	ENSMUSG00000105330.1	+
chr7	3220641	3220724	ENSMUSG00000077903.1	+
chr9	122273890	122274028	ENSMUSG00000098922.1	-
chr17	24234527	24234604	ENSMUSG00000093270.1	-
chr7	36302515	36302615	ENSMUSG00000093359.1	+
chr8	84925525	84925633	ENSMUSG00000092826.1	-
chr17	27358097	27358155	ENSMUSG00000106215.1	+
chr2	76479219	76479329	ENSMUSG00000092825.1	+
chr1	132923624	132923744	ENSMUSG00000106377.1	-
chr4	132408309	132408404	ENSMUSG00000096350.1	+
chr4	148146936	148146996	ENSMUSG00000099043.1	-
chr16	11144125	11144181	ENSMUSG00000076258.1	+
chr4	67633153	67633229	ENSMUSG00000106523.1	+
chr18	60174317	60174426	ENSMUSG00000094901.1	+
chr1	169018974	169019089	ENSMUSG00000098829.1	-
chr4	30701949	30702057	ENSMUSG00000093947.1	-
chr16	62808349	62808416	ENSMUSG00000076424.1	+
chrX	7807101	7807221	ENSMUSG00000080645.1	+
chr19	42280082	42280170	ENSMUSG00000093234.1	-
chrX	52741983	52742066	ENSMUSG00000065473.1	-
chr7	3415066	3415156	ENSMUSG00000094210.1	+
chrX	53048154	53048244	ENSMUSG00000065486.1	-
chr3	95734911	95734973	ENSMUSG00000098737.1	-
chr8	111016450	111016530	ENSMUSG00000093087.1	-
chr7	143933115	143933208	ENSMUSG00000099321.1	+
chr10	128377831	128377899	ENSMUSG00000088393.1	-
chr5	51223588	51223674	ENSMUSG00000104635.1	-
chr7	61726249	61726328	ENSMUSG00000095292.1	-
chr1	74394310	74394394	ENSMUSG00000065468.1	+
chr15	76064828	76064888	ENSMUSG00000098451.1	-
chr7	135566162	135566282	ENSMUSG00000088141.1	+
chr7	3219482	3219560	ENSMUSG00000078032.1	+
chr3	133431703	133431823	ENSMUSG00000080506.1	-
chrX	52378121	52378181	ENSMUSG00000105738.1	-
chr6	116645978	116646047	ENSMUSG00000098334.1	-
chr15	89185465	89185537	ENSMUSG00000098663.1	-
chr2	10517604	10517730	ENSMUSG00000080657.1	+
chr3	88536301	88536382	ENSMUSG00000084728.1	-
chr13	21721433	21721574	ENSMUSG00000105238.1	+
chr1	60613698	60613803	ENSMUSG00000088973.1	-
chr13	50262394	50262502	ENSMUSG00000095027.1	+
chr9	21032251	21032328	ENSMUSG00000084663.1	-
chr11	115253278	115253385	ENSMUSG00000089544.1	+
chr2	29475215	29475294	ENSMUSG00000098539.1	-
chr2	10481534	10481617	ENSMUSG00000104561.1	+
chrX	105379082	105379179	ENSMUSG00000065425.1	-
chr4	135416555	135416633	ENSMUSG00000076123.1	-
chr16	65432137	65432246	ENSMUSG00000095094.1	+
chrX	135786114	135786217	ENSMUSG00000088464.1	-
chr9	104994916	104995019	ENSMUSG00000088204.1	+
chr11	26202240	26202348	ENSMUSG00000099015.1	+
chr2	10484490	10484613	ENSMUSG00000096264.1	+
chr1	36348682	36348758	ENSMUSG00000098680.1	-
chr14	117953743	117953847	ENSMUSG00000098648.1	-
chr8	85062086	85062171	ENSMUSG00000099076.1	+
chr19	58911673	58911759	ENSMUSG00000092813.1	-
chr12	109723781	109723848	ENSMUSG00000105178.1	+
chr12	99982775	99982852	ENSMUSG00000093352.1	-
chr2	32318460	32318569	ENSMUSG00000092807.1	+
chr8	128278148	128278225	ENSMUSG00000099326.1	-
chr8	65093831	65093914	ENSMUSG00000092842.1	-
chr1	168490643	168490762	ENSMUSG00000098407.1	+
chr9	89802260	89802328	ENSMUSG00000065596.1	-
chr3	137783535	137783615	ENSMUSG00000099011.1	-
chr10	107480406	107480534	ENSMUSG00000104558.1	+
chr7	103267115	103267235	ENSMUSG00000094572.1	-
chr10	44359676	44359768	ENSMUSG00000089260.1	+
chr9	51103034	51103110	ENSMUSG00000065587.1	-
chr7	35081910	35081979	ENSMUSG00000093153.1	+
chr2	74701006	74701142	ENSMUSG00000104570.1	-
chr8	94505046	94505105	ENSMUSG00000098511.1	+
chr14	97049481	97049585	ENSMUSG00000098772.1	-
chr12	109710638	109710700	ENSMUSG00000106653.1	+
chr16	58749589	58749684	ENSMUSG00000099074.1	-
chr1	85763794	85763871	ENSMUSG00000094834.1	+
chr13	91752106	91752185	ENSMUSG00000099004.1	+
chr1	74900658	74900721	ENSMUSG00000065616.3	-
chr4	107697834	107697954	ENSMUSG00000094267.1	-
chr9	92267258	92267361	ENSMUSG00000098766.1	-
chr9	112118636	112118711	ENSMUSG00000065441.2	-
chr8	96656129	96656219	ENSMUSG00000077938.1	+
chr7	24987604	24987667	ENSMUSG00000099258.1	-
chr17	23823291	23823369	ENSMUSG00000092981.1	+
chr19	43622446	43622560	ENSMUSG00000092871.1	+
chr4	40993695	40993758	ENSMUSG00000092862.1	+
chr9	13621226	13621326	ENSMUSG00000093092.1	+
chr15	85707319	85707403	ENSMUSG00000065564.1	+
chr12	76533134	76533212	ENSMUSG00000092738.1	-
chr8	111689601	111689674	ENSMUSG00000099129.1	-
chr11	4139364	4139446	ENSMUSG00000093080.1	+
chr16	18327401	18327465	ENSMUSG00000065464.2	-
chr3	115979902	115979955	ENSMUSG00000089261.1	+
chr1	56999155	56999275	ENSMUSG00000094128.1	-
chr8	16168757	16168838	ENSMUSG00000093142.1	-
chr2	152772788	152772889	ENSMUSG00000093306.1	-
chr6	131532922	131533031	ENSMUSG00000077015.1	+
chr15	103853419	103853519	ENSMUSG00000095047.1	-
chr16	91944071	91944148	ENSMUSG00000099268.1	-
chr2	10481248	10481320	ENSMUSG00000095509.1	+
chr3	17795662	17795770	ENSMUSG00000093073.1	+
chr2	104428861	104428940	ENSMUSG00000084516.1	-
chr4	133558824	133558949	ENSMUSG00000093886.1	-
chr6	52230081	52230165	ENSMUSG00000065443.1	-
chrX	94394818	94394927	ENSMUSG00000105544.1	-
chr5	125479377	125479453	ENSMUSG00000098350.1	+
chr1	84218849	84218961	ENSMUSG00000098851.1	-
chr2	67781043	67781140	ENSMUSG00000098734.1	+
chr2	28733278	28733351	ENSMUSG00000092832.1	+
chr2	10511370	10511465	ENSMUSG00000088833.1	+
chr6	83400996	83401102	ENSMUSG00000099045.1	-
chr7	3589164	3589264	ENSMUSG00000095674.1	+
chr7	3218638	3218695	ENSMUSG00000106340.1	-
chr2	10516097	10516217	ENSMUSG00000078060.1	+
chr2	10491566	10491652	ENSMUSG00000104652.1	+
chrX	58794731	58794837	ENSMUSG00000105997.1	+
chr7	64205806	64205911	ENSMUSG00000065585.1	+
chr11	45829779	45829887	ENSMUSG00000076031.1	+
chr3	93388689	93388826	ENSMUSG00000106242.1	+
chr11	44469013	44469066	ENSMUSG00000092889.1	+
chr19	44303171	44303231	ENSMUSG00000093315.1	+
chr16	21256013	21256066	ENSMUSG00000098400.1	-
chrX	59693450	59693549	ENSMUSG00000105367.1	-
chr2	10480165	10480291	ENSMUSG00000095336.1	+
chr9	120955086	120955147	ENSMUSG00000106193.1	+
chr5	114851948	114852064	ENSMUSG00000098343.1	+
chr15	81586133	81586186	ENSMUSG00000080527.1	+
chr13	113037419	113037498	ENSMUSG00000078027.1	+
chr7	5127632	5127715	ENSMUSG00000092953.1	-
chr8	94324311	94324381	ENSMUSG00000065512.3	+
chr19	34068931	34069054	ENSMUSG00000080678.1	+
chr10	100139501	100139610	ENSMUSG00000096586.1	+
chr6	3721897	3722003	ENSMUSG00000070107.1	-
chr14	73206763	73206851	ENSMUSG00000076121.1	-
chr13	48538179	48538272	ENSMUSG00000065421.3	-
chr17	17830343	17830459	ENSMUSG00000092799.1	-
chr15	76433214	76433273	ENSMUSG00000099260.1	+
chr7	54008473	54008580	ENSMUSG00000099089.1	-
chr15	82548624	82548683	ENSMUSG00000098901.1	-
chr15	36798698	36798771	ENSMUSG00000093021.1	-
chr16	94869464	94869533	ENSMUSG00000095435.1	+
chr11	28757012	28757083	ENSMUSG00000065539.1	+
chr1	100861793	100861901	ENSMUSG00000077039.1	+
chr8	109425644	109425744	ENSMUSG00000092821.1	-
chr5	92788451	92788562	ENSMUSG00000089268.1	-
chr2	10493798	10493887	ENSMUSG00000094261.1	+
chr19	33592607	33592713	ENSMUSG00000098770.1	-
chr2	126902250	126902385	ENSMUSG00000098896.1	-
chr5	120852171	120852296	ENSMUSG00000092939.1	-
chr2	18129452	18129577	ENSMUSG00000092814.1	-
chr12	109734732	109734797	ENSMUSG00000099236.2	+
chr1	98549451	98549560	ENSMUSG00000096193.1	+
chr12	109717085	109717183	ENSMUSG00000076272.1	+
chr2	10488599	10488681	ENSMUSG00000094159.1	+
chr12	109586080	109586146	ENSMUSG00000072900.2	+
chr10	45537244	45537350	ENSMUSG00000098993.1	+
chr19	17928111	17928226	ENSMUSG00000076303.1	+
chr2	75659244	75659317	ENSMUSG00000093242.1	+
chr11	98029413	98029492	ENSMUSG00000098992.1	+
chr10	128402758	128402833	ENSMUSG00000094650.1	+
chr2	10492620	10492739	ENSMUSG00000096880.1	+
chr5	138606699	138606781	ENSMUSG00000092916.1	+
chr2	10511667	10511775	ENSMUSG00000076222.1	+
