Probe	Chromosome	Start	End	Strand	ES_E14	ES_J1	TS_EGFP	TS_Rs26
Ubox5	2	130590002	130630038	-	2.4180698	2.6063588	2.5674098	2.3453252
Fastkd5	2	130613840	130630027	-	3.192998	3.225388	3.013999	2.7612529
Prosapip1	2	130632839	130642803	-	-1.0688108	-0.78079015	-0.45516065	-0.6839062
Ddrgk1	2	130653960	130664659	-	1.894272	2.2259698	2.9374607	3.256203
Itpa	2	130667610	130681614	+	3.7344966	3.7077496	4.5758944	3.7080154
Slc4a11	2	130684113	130697519	-	-0.77759933	-1.0811137	1.6813537	1.1049109
4930402H24Rik	2	130706200	130906406	-	-0.80313456	-0.8472623	0.25275132	0.66830707
A730017L22Rik	2	130873059	130906396	-	-3.234777	-2.865456	-3.2027917	-2.5621212
Atrn	2	130906495	131030333	+	-0.28280923	-0.20299508	-0.2678975	-0.04226453
Gfra4	2	131039632	131043088	-	-6.436864	-2.2664473	-0.9637789	-1.6450366
Adam33	2	131050591	131063814	-	-7.601849	-5.5834355	-4.3682303	-4.4645257
Siglec1	2	131069220	131086765	-	-8.159027	-7.7255764	-7.925408	-7.606665
Hspa12b	2	131127280	131146321	+	-4.0521584	-3.0337448	-0.9605583	-1.370514
Gm11037	2	131133497	131134215	+	-1.2636033	-0.83015215	-1.0299841	-0.7112418
1700037H04Rik	2	131146324	131160081	-	0.9854089	1.1681639	2.9577627	2.1197796
Gm14232	2	131159537	131171342	+	-4.1576123	-3.5721583	-3.9239933	-3.6052513
Spef1	2	131170261	131187282	-	-2.2360332	-2.3875446	-2.3947318	-4.0759892
Cenpb	2	131177291	131180012	-	2.4099786	2.6061928	2.5726545	2.2500837
Cdc25b	2	131186949	131198497	+	1.2394433	1.3924615	1.7193123	1.6831381
2310035K24Rik	2	131207078	131213514	+	-2.3167148	-1.2202983	-1.7611674	-1.1013881
Mavs	2	131234063	131248025	+	0.97014296	1.295738	1.3979347	1.7273242
Pank2	2	131262495	131299188	+	1.857376	2.056759	2.5150075	2.436496
Rnf24	2	131298064	131352892	-	-0.7966895	-1.059846	-0.69139445	-0.15506059
Gm14233	2	131298545	131299835	+	0.2651407	0.35755497	0.951272	0.15453723
Smox	2	131491496	131525922	+	-1.1775504	-0.8654056	0.22081345	-0.8514649
Adra1d	2	131545850	131562283	-	-6.247737	-5.8142858	-6.0141177	-5.6953754
Gm14285	2	131561614	131563179	+	-3.9265683	-3.4931173	-3.692949	-3.3742068
4930425F17Rik	2	131647825	131648594	+	-4.9454274	-4.5119762	-4.711808	-4.393066
Gm14280	2	131652897	131721838	-	-5.8525677	-5.4191165	-5.618949	-5.300206
5330413P13Rik	2	131820006	131847660	-	-2.8619359	-4.286465	-7.6383004	-7.319558
Erv3	2	131853678	131859747	-	-4.9266634	-6.645215	-6.845047	-6.5263047
Prnp	2	131909928	131938429	+	1.3085083	1.338381	2.8262901	3.621116
Prnd	2	131909957	131956130	+	-2.6389208	-3.9424353	-3.5573049	-3.0865595
Rassf2	2	131989415	132030258	-	-1.847724	-1.5796964	-1.273068	-1.2480567
Slc23a2	2	132052496	132145108	-	1.5662904	1.3459624	2.2255409	1.3303105
Gm14051	2	132144533	132220250	+	-3.9151335	-3.481682	-3.6815143	-3.362772
5730494N06Rik	2	132239492	132247807	-	1.3930027	1.7299166	0.6770869	1.7980225
Pcna	2	132249162	132253314	-	6.48608	6.4495873	6.641065	5.775258
AV099323	2	132253357	132261333	+	-0.3513272	-0.71142536	0.039833065	-0.7989657
Cds2	2	132263148	132312050	+	2.1204717	1.9496497	1.8347504	1.9750412
Prokr2	2	132337733	132385447	-	-6.1558123	-5.1373982	-4.922193	-4.144019
4921508D12Rik	2	132424741	132452499	+	-5.4268336	-4.993383	-5.1932144	-4.874472
Gm14095	2	132483212	132501148	-	-4.36794	-3.9344888	-4.1343207	-3.8155785
1700026D11Rik	2	132490634	132524057	+	-6.8729057	-6.439454	-6.6392865	-6.3205442
Gpcpd1	2	132529082	132587729	-	0.84336853	0.04109261	1.1631885	1.4200286
AU019990	2	132598195	132653068	+	-2.5188882	-5.8927917	-6.2446265	-5.9258842
1110034G24Rik	2	132686931	132751055	+	-1.1650523	-0.91217345	-6.018896	-5.8521566
Gm14097	2	132694432	132698523	-	-4.0812263	-3.7997785	-3.9996107	-3.6808684
Chgb	2	132781278	132795079	+	-3.6246698	-6.3432217	-6.5430536	-6.2243114
Trmt6	2	132804207	132816055	-	3.2681065	3.1973186	3.700536	3.1117988
Mcm8	2	132816141	132844197	+	1.7031636	1.9977872	2.0234668	2.4210315
Gm14104	2	132845999	132847256	-	-3.8324463	-3.398995	-3.5988271	-3.2800848
Crls1	2	132846666	132866785	+	2.728638	2.8123174	2.7330756	2.855279
Lrrn4	2	132868305	132880891	-	0.8003301	0.5193422	0.002653143	2.000258
Fermt1	2	132904389	132945906	-	-1.3413526	-1.0980043	-1.8929946	-3.0413783
Gm14102	2	132958442	132959805	+	-3.0626905	-3.7812426	-3.9810743	-3.6623323
A430048G15Rik	2	133432095	133453362	+	-4.6490345	-4.2155833	-4.4154153	-4.096673
Gm14100	2	133463118	133465784	+	-4.7032266	-4.2697754	-4.4696074	-4.150865
Bmp2	2	133552159	133562885	+	-5.0003433	-3.9819298	-2.2431624	-3.126054
Hao1	2	134497361	134554368	-	-6.5140595	-6.0806084	-6.2804403	-5.961698
Tmx4	2	134594185	134644145	-	-0.23829794	-0.4028654	0.59893644	0.81120217
Plcb1	2	134786159	135475258	+	-3.481665	-3.1006813	-5.248046	-4.566733
4930545L23Rik	2	135169573	135215616	-	-6.645579	-6.2121277	-6.4119596	-6.0932174
9630028H03Rik	2	135325447	135583584	-	-7.186039	-6.752588	-6.9524198	-6.6336775
Gm14074	2	135648907	135652063	+	3.0629861	1.1860971	-3.8095942	-3.4908519
Plcb4	2	135659011	136014593	+	2.8280478	2.442145	1.7528856	1.591799
Gm14209	2	135669453	135670425	+	-4.2084618	-3.7750108	-3.9748428	-2.5040972
Gm14211	2	135686174	135693154	-	-4.029138	-3.595687	-3.795519	-3.4767766
Gm14210	2	135811945	135812927	-	-4.3311276	-3.8976762	-4.0975084	-3.778766
6330527O06Rik	2	136052239	136069917	+	-6.8748746	-6.441423	-6.6412554	-6.322513
Pak7	2	136081104	136387967	-	-4.702118	-7.590595	-7.7904267	-7.4716845
Gm14218	2	136137006	136140161	+	-4.5734587	-4.1400075	-4.3398395	-4.021097
Ankrd5	2	136501910	136562091	+	-6.4305196	-5.997069	-7.933866	-7.6151233
BC034902	2	136501998	136515512	+	-6.3821287	-5.9486785	-6.300513	-5.9817705
Snap25	2	136713453	136782428	+	-3.7641928	-3.9157045	-7.700499	-5.7967935
Mkks	2	136873780	136891389	-	1.6391586	1.7919323	1.844607	1.6574584
2210009G21Rik	2	136891218	137071950	+	0.8106008	0.7010201	-0.28935844	0.35908931
Jag1	2	137081456	137116644	-	1.1996421	0.6917474	-4.0201964	-2.5170295
Gm14055	2	137288503	137329126	+	-4.740417	-4.306966	-4.506798	-4.1880555
Gm14064	2	137663435	137829244	+	-4.8625245	-4.4290733	-4.6289053	-4.310163
Gm14062	2	137870046	137876831	-	-7.370035	-6.9365845	-7.136416	-6.8176737
Btbd3	2	138256565	138589292	+	1.3735769	1.2874753	0.8862013	0.97591823
Gm14061	2	138589392	138649122	+	-5.332561	-4.8991094	-5.098942	-4.780199
Gm14066	2	139256876	139677714	-	-6.2110357	-5.9295874	-6.12942	-5.8106775
Sptlc3	2	139493913	139637674	+	-6.830926	-6.397475	-6.5973067	-6.2785645
Ism1	2	139678178	139758581	+	-4.7282715	-5.2948203	-4.1727242	-6.3279133
Tasp1	2	139833480	140066805	-	0.7873679	0.6796727	0.7335972	0.29454055
Esf1	2	140119883	140170564	-	5.404887	5.536988	4.816539	4.816061
Gm17374	2	140152043	140153532	+	-2.029138	-1.595687	-1.795519	-1.4767765
2310003L22Rik	2	140170649	140203689	+	1.4660863	1.7636539	1.7317663	1.7423865
Sel1l2	2	140229855	140389706	-	-6.776146	-6.342695	-6.5425267	-6.2237844
Macrod2	2	140395309	142392966	+	-0.5249592	-0.83594877	-5.7176046	-4.2833853
Flrt3	2	140650914	140671469	-	-0.47565365	-0.019482533	-5.6343517	-6.900572
Gm14105	2	141229670	141235426	-	-7.1568036	-6.723353	-6.9231844	-6.604442
Gm14077	2	141230431	141286991	-	-6.969121	-6.5356693	-6.735502	-6.4167595
Kif16b	2	142617474	142901531	-	1.2990819	1.25396	1.5809562	1.9044365
4930511F01Rik	2	142902965	142903572	+	-4.3079977	-3.7225432	-4.0743785	-3.755636
Snrpb2	2	143063039	143072853	+	5.268838	5.2547636	5.394506	5.145816
Otor	2	143078473	143081713	+	-5.246977	-4.8135257	-5.013358	-4.6946154
C630020P19Rik	2	143535476	143547837	-	-3.2381327	-4.892144	-7.2439795	-6.925237
Pcsk2	2	143546156	143816285	+	-5.1541715	-4.9133654	-8.072556	-7.753813
Gm12360	2	143747583	143795965	-	-7.109929	-6.6764784	-6.87631	-6.5575676
Bfsp1	2	143826528	143863173	-	-1.727065	-2.2936137	-3.3865306	-3.5532148
Dstn	2	143915320	143943324	+	7.239058	6.9774365	5.5701857	6.744743
Rrbp1	2	143947395	144011263	-	3.982012	4.018775	3.7627847	3.8728263
Banf2	2	144033059	144073979	+	-4.5140595	-4.080609	-4.2804403	-3.961698
Gm12357	2	144059138	144068806	-	-5.0640717	-4.630621	-4.8304524	-4.51171
Gm5535	2	144173150	144189290	-	-6.1240697	-5.6906185	-5.8904505	-5.571708
4930444E06Rik	2	144243241	144244849	+	-5.632837	-5.199386	-5.399218	-5.0804753
Snx5	2	144250123	144270906	-	6.188841	6.082369	6.2003303	5.289866
8430406I07Rik	2	144270663	144281227	+	2.9779904	2.7746863	2.5629997	2.07736
Ovol2	2	144305175	144332146	-	-2.0798616	-1.1158959	-2.6942394	-2.89007
1700108N11Rik	2	144331459	144332639	+	-5.1974907	-4.7640395	-4.9638715	-4.645129
Csrp2bp	2	144368983	144407676	+	2.7095919	2.938996	2.460128	2.022958
6330439K17Rik	2	144470557	144527414	-	-3.007532	-3.696071	-6.983366	-4.4946985
Polr3f	2	144527718	144541995	+	2.2868524	2.1973405	2.3547993	1.8166797
Rbbp9	2	144542265	144550869	-	2.1012497	2.5736952	2.6304712	2.7964947
Sec23b	2	144556229	144590749	+	2.9041665	3.1530774	2.579743	2.9656565
Gm561	2	144594054	144595366	+	0.50066966	0.049597986	1.1035227	1.4222649
Dtd1	2	144599897	144768758	+	1.7946771	2.2281282	1.7355144	2.234829
1700010M22Rik	2	144823666	144824415	+	-4.9074597	-4.474008	-4.6738405	-4.3550982
Slc24a3	2	145167754	145642166	+	-5.7758303	-5.342379	-4.1271734	-4.808431
Gm14093	2	145337648	145379381	+	-3.8645072	-3.4310563	-3.630888	-3.3121457
Gm14092	2	145550652	145554982	-	-4.625839	-4.192388	-4.39222	-4.0734777
BC039771	2	145675367	145753672	+	-5.4071393	-4.9736886	-4.0035954	-2.9478874
Rin2	2	145784734	145887616	+	-0.09539147	-0.04045203	3.1792548	2.3712401
Naa20	2	145902099	145916425	+	2.417791	2.6976643	3.313203	3.1788945
Crnkl1	2	145917479	145935014	-	4.5985646	4.69267	4.328751	4.1275096
4930529M08Rik	2	145934784	146215039	+	-5.1178713	-6.5588894	-8.495687	-8.0249405
Insm1	2	146221921	146225016	+	-0.84670293	-1.4132518	2.4798436	-0.18244861
Ralgapa2	2	146239879	146512026	-	-0.39107925	-0.25542787	-0.63091433	-0.08807722
A930019D19Rik	2	146259286	146267160	+	-5.260595	-4.827143	-5.0269756	-4.7082334
4933406D12Rik	2	146542931	146546108	+	-4.8822336	-4.448782	-4.6486144	-4.329872
Gm14114	2	146828327	146839732	-	-3.3696165	-3.0881686	-3.2880003	-2.969258
Plk1s1	2	146855864	146970097	+	1.7658596	2.0864167	2.104176	2.328526
Xrn2	2	147012996	147078000	+	5.0627875	5.1278076	5.4070587	5.2858257
Nkx2-4	2	147083316	147085445	-	-4.9570904	-3.523639	-5.723471	-5.5567317
Nkx2-2	2	147177546	147194243	-	-4.694056	-5.260605	-6.6124396	-6.2936974
Nkx2-2as	2	147184083	147331681	+	-7.2898498	-7.008402	-7.208234	-6.8894916
6430503K07Rik	2	147187424	147188407	+	-4.2515306	-3.8180795	-4.0179114	-3.699169
Gm14110	2	147323562	147325087	-	-4.9227667	-4.489316	-4.689148	-4.370405
AI646519	2	147361541	147362409	-	-3.8120399	-3.378589	-3.5784209	-3.2596784
Pax1	2	147361925	147393295	+	-5.015924	-7.056404	-7.2562356	-5.78549
A530006G24Rik	2	147710693	147717632	+	-5.7350073	-5.3015566	-5.501388	-5.182646
9030622O22Rik	2	147944740	148040203	-	-6.0726743	-5.6392236	-5.839056	-5.5203133
Foxa2	2	148042877	148046969	-	-1.9559492	-2.5224981	-0.5379055	-0.77555656
Sstr4	2	148395377	148400503	+	-6.456718	-6.0232663	-6.2230988	-5.9043565
Thbd	2	148404471	148408188	-	-3.7430928	-4.3096414	-1.7439387	-0.8122194
Cd93	2	148436640	148443563	-	-6.909694	-7.628246	-7.828078	-4.77237
Gm14120	2	148468890	148478780	+	-6.843045	-6.409594	-6.609426	-6.2906837
Nxt1	2	148672601	148676027	+	2.52915	2.7911208	3.4746435	3.0690207
Gzf1	2	148681023	148692949	+	1.8410134	2.259384	2.2815833	2.2543705
Napb	2	148693985	148732467	-	-0.7788684	-1.1798313	-3.1108465	-2.0784085
Cstl1	2	148750358	148755433	+	-4.8525677	-4.4191165	-4.618949	-4.300206
Cst11	2	148768609	148771497	-	-4.6211553	-4.187704	-4.3875365	-4.068794
8030411F24Rik	2	148782009	148785937	+	-4.5903325	-4.1568813	-4.3567133	-4.037971
Cst12	2	148789361	148793546	+	-4.712064	-4.2786126	-4.4784446	-4.1597023
Cst8	2	148798785	148805595	+	-5.093115	-4.6596637	-4.859495	-4.5407534
Cst13	2	148820081	148830410	+	-4.969581	-4.53613	-4.735962	-4.4172196
Cst9	2	148835147	148838738	+	-4.780879	-4.347428	-4.54726	-4.2285175
9230104L09Rik	2	148846711	148865038	-	-5.1720963	-4.738645	-4.938477	-4.619735
Cst3	2	148871722	148875692	-	2.277131	2.2625299	4.073787	4.007375
Gm1330	2	148990343	149003251	-	-4.478246	-4.044795	-4.244627	-3.9258847
Gm10750	2	149015732	149017237	-	-5.913219	-5.479768	-5.6796	-5.3608575
Gm14135	2	149257277	149262145	+	-4.563727	-4.1302757	-4.330108	-4.0113654
Cst10	2	149405057	149410293	+	-5.062345	-4.6288943	-4.828726	-4.5099835
Gm14133	2	149743927	149798743	-	-2.107587	-1.9371704	-5.610934	-5.2921915
Tmem90b	2	149829211	150004392	+	-2.1489823	-1.9499966	-6.3892946	-6.070552
C530025M09Rik	2	149830524	149831213	-	-4.787165	-4.3537145	-4.553546	-4.2348037
Zfp120	2	150114406	150136708	-	1.2506402	1.5596094	0.09338387	0.9104664
Gm10770	2	150178882	150179679	-	-4.836493	-4.403042	-4.602874	-4.2841315
Gm14139	2	150181755	150193279	+	4.016251	3.733597	2.2852492	1.8595508
Zfp937	2	150218073	150240725	+	1.2036068	1.1713945	-0.8357924	0.38984048
Gm10749	2	150254518	150255591	-	2.774743	2.4573658	0.8589845	0.95095605
Gm14124	2	150257517	150270300	+	3.6912405	3.2181864	1.000914	0.8757377
3300002I08Rik	2	150310935	150362765	-	-1.6086591	-1.8190641	-3.2115412	-0.999714
AL929042.1	2	150323702	150363071	+	0.9444338	-0.20707747	-0.89233637	-0.8955222
Zfp442	2	150407141	150451486	-	0.77440304	0.52335596	-0.6011878	0.12031367
Zfp345	2	150470991	150485091	-	3.441888	3.0091608	1.3263575	1.5455642
Cst7	2	150570415	150578944	+	-5.3021564	-4.8687057	-5.0685377	-4.749795
2310001A20Rik	2	150583080	150608567	-	1.4863757	1.3407407	2.0779777	2.0736427
Gm14123	2	150606233	150610254	+	-6.732838	-6.2993865	-6.499219	-6.1804767
Acss1	2	150618105	150668500	-	0.36149207	-0.27469096	-3.6603897	-1.9086877
E130215H24Rik	2	150667494	150668935	+	-5.231694	-4.798243	-4.998075	-4.6793327
Vsx1	2	150680699	150689360	-	-7.246217	-6.812765	-7.0125976	-6.6938553
Gm14136	2	150704536	150706876	-	0.70218104	-0.65578115	-4.708056	-0.77787906
Entpd6	2	150749042	150771675	+	0.46274865	0.8212377	0.90038174	0.9592569
Pygb	2	150786735	150831758	+	0.86754996	1.2017914	1.8169789	2.8078742
Abhd12	2	150832493	150904741	-	1.7585418	2.0876563	2.6507046	2.7550032
Gins1	2	150905400	150931280	+	3.9365954	3.966468	4.3515987	3.9788146
Ninl	2	150934519	151039382	-	1.715563	1.8007184	2.4798546	2.6350415
Nanp	2	151029685	151039398	-	3.0210032	3.1934085	3.4953752	3.107701
Gm14151	2	151086786	151092350	-	-6.740417	-6.306966	-6.506798	-6.1880555
Gm14147	2	151098245	151103818	+	-6.7452683	-6.3118167	-6.511649	-6.192907
Gm14145	2	151104892	151106326	+	-4.3453975	-3.9119463	-4.1117783	-3.793036
Gm14149	2	151205195	151231614	+	-6.21236	-5.7789087	-5.9787407	-5.507995
Gm14144	2	151264603	151278836	-	-6.105744	-5.6722927	-5.8721247	-5.553383
4930442J19Rik	2	151301974	151316247	+	-6.150316	-5.716865	-5.916697	-5.5979543
Gm14152	2	151380650	151432402	-	-5.6363235	-5.2028723	-5.4027042	-5.083962
Gm14146	2	151462045	151469613	-	-4.3453975	-3.9119463	-4.1117783	-3.793036
4921509C19Rik	2	151470542	151476153	-	-6.7468815	-6.1614275	-6.5132623	-6.19452
Nsfl1c	2	151494182	151511414	+	3.707191	3.8738916	4.3306956	3.868539
Gm14167	2	151540731	151542348	-	-1.962933	-1.944519	-1.7293137	-0.60321635
Fkbp1a	2	151542483	151561692	+	4.6112227	4.640221	5.747051	4.982247
Sdcbp2	2	151572622	151590005	+	-2.0699275	-1.4140837	-2.4212708	-1.7806003
Snph	2	151590549	151632593	-	-8.145207	-4.7117558	-8.063591	-7.7448487
Rad21l	2	151645404	151668533	-	-5.900808	-5.61936	-3.667189	-3.3484464
BC052486	2	151679361	151686339	-	-6.472407	-6.038955	-6.2387877	-5.9200454
5430405G05Rik	2	151702008	151712157	+	-5.140611	-4.70716	-3.585064	-5.5882497
Psmf1	2	151715812	151744186	-	0.19750392	0.60909563	1.4392356	1.0074658
4930556L07Rik	2	151747578	151749978	-	-5.8978095	-5.464358	-5.6641903	-5.345448
Gm14155	2	151829067	151832108	+	-4.55393	-4.120478	-4.32031	-4.001568
Rspo4	2	151842927	151874668	+	-5.4159894	-3.6606104	-5.18237	-5.863628
Gm14157	2	151865315	151866960	-	-5.679767	-5.2463164	-5.4461484	-5.127406
Angpt4	2	151911210	151945337	+	-6.54592	-6.1124682	-6.3123007	-5.841555
Gm14154	2	151947273	151950641	-	-4.5341325	-4.100681	-4.3005133	-3.9817708
Fam110a	2	151969398	151980219	-	-1.4056898	-2.4196978	-0.22098044	0.38952816
Slc52a3	2	151996511	152009258	+	-3.3168883	-4.2053657	-2.7047577	-0.6601902
AA387200	2	152074855	152076808	-	-5.5576115	-5.1241603	-5.3239923	-5.00525
Scrt2	2	152081529	152095802	+	-6.9339056	-6.652457	-6.8522897	-6.5335474
Srxn1	2	152105516	152111376	+	1.673661	2.010436	1.1296726	1.2081006
Tcf15	2	152143561	152149097	+	2.7228386	3.2169158	-0.65980095	-2.267058
Csnk2a1	2	152226839	152281852	+	4.860349	4.696824	4.39836	4.202844
Tbc1d20	2	152293828	152313996	+	0.67600346	1.0099188	2.2146204	1.9288045
Rbck1	2	152316334	152332653	-	1.1589402	1.5407902	2.1419485	1.8699182
Trib3	2	152337422	152344032	-	-0.7343948	-0.5025774	1.4992243	-1.1206326
Gm14164	2	152345669	152375324	+	-6.3217754	-5.8883243	-6.088156	-5.769414
Nrsn2	2	152368755	152376638	-	-1.711513	-1.1081369	-5.477894	-5.1591516
Sox12	2	152393611	152398046	-	1.7631204	1.9704025	1.6818662	0.8368283
Zcchc3	2	152411956	152415044	-	2.813391	2.874222	2.709781	1.6495454
6820408C15Rik	2	152415587	152444330	+	-2.8381085	-5.5745826	-4.189452	-5.607675
Defb23	2	152459055	152464620	-	-4.642115	-4.208664	-4.408496	-4.0897536
Defb20	2	152477063	152479934	+	-4.787165	-4.3537145	-4.553546	-4.2348037
Defb22	2	152485663	152490138	-	-4.6513333	-4.2178826	-4.4177146	-4.098972
Defb26	2	152507798	152511692	-	-4.4885697	-4.0551186	-4.2549505	-3.9362082
Defb28	2	152518255	152521447	+	-3.989708	-3.556257	-3.756089	-3.4373465
Defb29	2	152538714	152540098	-	-4.2084618	-3.7750108	-3.9748428	-3.6561005
Gm14161	2	152549714	152553932	-	-3.7618542	-3.328403	-3.5282352	-3.2094927
Gm17416	2	152569338	152569538	+	-3.0077646	-2.5743134	-2.7741454	-2.455403
Defb21	2	152572744	152574944	+	-4.0948052	-3.6613538	-3.861186	-3.5424435
Defb19	2	152576086	152580312	-	-3.9787645	-3.5453134	-3.7451456	-3.426403
Defb45	2	152593191	152599399	-	-4.563727	-4.1302757	-4.330108	-4.0113654
Defb36	2	152604327	152612729	+	-4.2270775	-3.7936263	-3.9934585	-3.6747158
Defb25	2	152622356	152623053	-	-3.5514696	-3.1180184	-3.3178504	-2.999108
Rem1	2	152626951	152635198	+	-6.4308543	-5.8454	-6.197235	-5.7264895
1700030C14Rik	2	152652883	152654330	-	-4.9189553	-4.485504	-4.685336	-4.366594
H13	2	152669461	152708670	+	0.8075798	1.0688499	2.4510748	2.0932958
Mcts2	2	152687148	152687940	+	2.8435934	3.5919178	0.09817219	2.7051594
Id1	2	152736251	152737410	+	2.522272	3.4019792	2.3488464	1.5427822
Cox4i2	2	152754173	152765037	+	-3.8267612	-1.5859553	-3.5931423	-4.2744
Bcl2l1	2	152780668	152831728	-	1.1753017	1.6355765	2.7607067	2.4372966
Tpx2	2	152847964	152895321	+	5.5121274	5.504215	5.676155	5.387205
Mylk2	2	152911352	152923068	+	-4.4097695	-3.9763186	-6.650082	-6.33134
Foxs1	2	152931898	152933208	-	-5.713165	-5.2797136	-5.4795456	-5.1608033
Dusp15	2	152940995	152951698	-	-7.114103	-6.5286484	-6.8804836	-6.5617414
Ttll9	2	152962485	153008482	+	-2.5818167	-2.8402433	-6.8925185	-6.4217725
Gm14199	2	152990017	152991631	-	-4.3079977	-3.8745463	-4.0743785	-3.755636
Pdrg1	2	153008890	153015427	-	1.5852463	1.400568	2.4539514	2.8876297
Xkr7	2	153031852	153055775	+	-3.801964	-4.590905	-6.527703	-6.2089605
BC020535	2	153065955	153081735	+	-1.793874	-2.3038392	-6.3561144	-6.0373716
Hck	2	153108468	153151441	+	3.4246192	3.6451576	-6.153761	-5.6830153
Tm9sf4	2	153161303	153210466	+	1.6605978	1.6324402	2.3372605	2.2625647
Tspyl3	2	153222380	153225441	-	-1.830772	-1.544162	-1.506955	-1.9106786
Plagl2	2	153227759	153241426	-	-0.09783036	0.3578736	0.002763349	-0.3565663
Pofut1	2	153241533	153270247	+	-0.48531663	-0.37379354	0.10709588	0.41698742
Kif3b	2	153291413	153333390	+	1.7295531	1.6724235	2.674618	2.5686903
2500004C02Rik	2	153341157	153346073	-	-0.6289599	-1.1955087	-0.1323064	-1.1354921
Asxl1	2	153345845	153404007	+	3.9857	3.8289027	3.3400764	3.0501819
8430427H17Rik	2	153407462	153529971	-	-1.3092687	-1.8327488	3.3213444	1.6724044
4930404H24Rik	2	153492790	153493841	+	-3.7273998	-3.293949	-3.4937809	-3.1750388
Commd7	2	153616933	153632781	-	-0.42841583	-0.25212255	0.8002877	0.77602243
7530422B04Rik	2	153648690	153650286	-	-3.107587	-2.2590983	-4.610934	-1.8182601
Dnmt3b	2	153649450	153687730	+	6.3020725	6.189939	6.077527	5.8179846
Mapre1	2	153741274	153773310	+	3.5648723	3.703655	4.1025405	3.7903132
Efcab8	2	153780879	153795182	+	-5.871427	-5.437976	-5.4858046	-4.1670623
Efcab8	2	153798619	153816482	+	-5.2761717	-4.994724	-5.0425525	-4.875814
Efcab8	2	153842981	153844752	+	-6.0905757	-5.6571245	-5.8569565	-5.386211
Sun5	2	153856188	153871084	-	-5.6234994	-5.190048	-5.38988	-5.071138
Bpifb2	2	153875045	153895270	+	-6.38738	-5.9539285	-6.153761	-5.8350186
Bpifb6	2	153900388	153912795	+	-6.061481	-5.6280303	-5.827862	-5.5091195
Bpifb3	2	153918230	153932996	+	-6.227848	-5.794397	-3.8422256	-5.6754866
Bpifb4	2	153938212	153964101	+	-4.8152733	-5.381822	-4.996691	-6.414915
Bpifa6	2	153974945	154000495	+	-5.975098	-5.541647	-5.741479	-5.4227366
Bpifa2	2	154008265	154016079	+	-6.3289747	-5.895523	-6.0953555	-5.776613
AL732466.1	2	154052269	154058857	+	-4.7829776	-4.3495264	-4.5493584	-4.230616
Bpifa3	2	154130336	154138356	+	-5.569817	-5.136366	-5.336198	-5.0174556
Bpifa1	2	154142880	154149219	+	-5.9501038	-5.5166526	-5.7164845	-5.3977423
Bpifa5	2	154162607	154168450	+	-5.4455013	-5.0120497	-5.211882	-4.89314
Bpifb1	2	154190818	154220369	+	-7.177291	-6.7438393	-6.9436717	-6.6249294
Bpifb5	2	154223742	154240902	+	-6.033551	-5.6001	-5.799932	-5.4811897
Bpifb9a	2	154257854	154271245	+	-6.507095	-6.0736437	-6.2734756	-5.9547334
Bpifb9b	2	154307227	154320646	+	-6.370035	-5.9365845	-6.136416	-5.8176737
Cdk5rap1	2	154335380	154373010	-	1.0608433	1.419705	1.2374314	1.3501705
Snta1	2	154376313	154408099	-	0.25531533	0.803409	-2.0427861	-1.9256775
Cbfa2t2	2	154436481	154539356	+	2.0896711	2.07061	1.2924998	1.3080865
Necab3	2	154544399	154558890	-	-1.4323964	-1.4425519	-1.9643121	-1.3236415
1700003F12Rik	2	154547085	154550003	+	-5.2874503	-4.853999	-5.053831	-4.735089
1700007I08Rik	2	154551776	154553276	+	-5.9084206	-5.47497	-5.674802	-5.2040563
E2f1	2	154559407	154569892	-	2.0303044	1.7756995	1.9566892	1.6134282
Pxmp4	2	154585758	154603708	-	-1.4873347	-0.76110184	0.124796085	0.31295425
Zfp341	2	154613297	154646821	+	0.09616195	0.3611074	0.3410965	0.38775915
Gm14198	2	154630002	154632636	-	-5.245456	-4.6600018	-5.011837	-2.9561288
Chmp4b	2	154651705	154694785	+	4.5956125	4.477231	5.7010975	5.970776
Gm14216	2	154722352	154738451	-	-4.774565	-4.341114	-4.5409465	-4.2222037
Raly	2	154791096	154867261	+	4.595868	4.6134424	5.404519	4.8856983
a	2	154791402	155051012	+	0.6042312	0.65239215	2.5102756	0.7111815
Eif2s2	2	154871410	154892935	-	6.840493	6.7248077	7.1398616	7.281778
Gm14226	2	155018266	155027104	+	-7.019826	-6.5863748	-6.786207	-6.4674644
Ahcy	2	155059310	155074497	-	4.3485327	4.773547	5.722647	4.320132
2310005A03Rik	2	155097789	155100081	-	-5.805861	-5.3724103	-5.572242	-5.2534995
Itch	2	155133509	155226855	+	2.5649014	2.5657766	2.9290977	3.065441
Dynlrb1	2	155236533	155250277	+	4.4586315	4.650911	5.294563	5.046661
Map1lc3a	2	155276297	155278073	+	0.9293472	1.2127728	2.0899029	2.0725958
Pigu	2	155278243	155357430	-	-0.4728891	0.036052175	0.69984776	0.37977758
Trp53inp2	2	155381059	155389850	+	-0.46670154	-0.14259773	1.4890645	1.5306597
Ncoa6	2	155390656	155473894	-	1.5562192	1.5482986	2.81753	2.866365
Ggt7	2	155490379	155518237	-	-6.877135	-3.4436836	-2.9430761	-3.739811
Acss2	2	155517948	155585724	+	-2.2119675	-2.6228657	-1.7585673	-1.0807439
