gene	chr	strand	start	end	ESC_WT-1	ESC_WT-2	ESC_TET1KO-1	ESC_TET1KO-2	ESC_TET2KO-1	ESC_TET2KO-2	day3_WT-1	day3_WT-2	day3_TET1KO-1	day3_TET1KO-2	day3_TET2KO-1	day3_TET2KO-2	day6_WT-1	day6_WT-2	day6_TET1KO-1	day6_TET1KO-2	day6_TET2KO-1	day6_TET2KO-2
Snai3	chr8	-	124978105	124984592	0.5246	0.3131	0.211	0.2869	0.3164	0.2926	2.2858	1.5725	2.5038	2.2675	1.871	2.3515	0.4083	0.5544	0.2925	0.2784	0.2796	0.2679
Neil3	chr8	-	54672220	54724419	2.6259	1.5344	1.512	1.4665	1.0251	0.6987	5.1541	4.1772	3.2843	3.6739	3.7828	3.7726	3.8306	4.2274	2.0452	2.7347	3.3828	4.1903
Mtmr7	chr8	-	41635512	41720146	8.7086	5.6249	9.6457	7.6393	7.5363	6.58	5.373	4.6714	6.1032	5.8936	5.7461	6.3793	3.8633	4.4394	2.9385	2.8877	4.6253	5.332
Sf3b3	chr8	-	113334391	113370703	30.4283	36.1764	41.3653	41.5948	42.9892	50.0206	60.956	61.8756	73.5958	69.4928	65.4681	64.7365	44.6291	43.0531	35.3981	40.6561	39.9322	39.1724
Gm16675	chr8	-	47816323	47824869	0.05	0.05	0.05	0.05	0.05	0.05	0.0925	0.0978	0.0662	0.1649	0.0757	0.05	0.1881	0.148	0.1149	0.2181	0.2393	0.2305
Gm10664	chr8	-	67552315	67561235	30.7198	25.6258	28.192	22.9455	31.0983	27.923	13.0335	13.6435	11.4355	10.5419	32.0183	37.9173	4.6516	27.0728	41.4789	43.4559	12.833	51.3272
Mast3	chr8	-	73302015	73316332	2.9207	2.5885	2.5681	3.0047	3.1484	3.1666	2.4127	1.9865	1.9394	2.1418	2.5022	2.5707	2.3513	2.6967	2.1248	1.9627	1.8934	2.3953
AI316807	chr8	-	23573085	23587351	4.3424	2.1428	3.8639	3.4937	1.9149	1.8884	1.9468	1.5784	1.452	1.5691	1.291	1.5659	4.7329	4.0197	3.6886	4.3202	4.183	3.8772
Pcp2	chr8	-	3623370	3625545	0.05	0.1082	0.1012	0.05	0.05	0.0757	0.0799	0.05	0.2205	0.1409	0.1583	0.3303	0.1229	0.05	0.05	0.0823	0.0807	0.05
Asna1	chr8	-	87541829	87549177	65.5484	76.1887	105.6616	105.3116	80.9899	93.4072	65.4872	70.1639	84.8696	78.9243	75.9056	77.6817	59.8848	54.2795	54.3083	58.3808	54.0757	47.5332
Tmed6	chr8	-	109585383	109589544	0.202	0.2185	0.1982	0.1827	0.1901	0.1058	0.05	0.0744	0.0994	0.05	0.05	0.1007	0.0764	0.1998	0.174	0.1668	0.0945	0.2256
Zfp963	chr8	-	72265537	72273861	1.1663	0.9544	0.9713	1.1001	1.1936	1.0595	1.0621	1.3907	1.3241	1.5384	1.0323	1.0058	1.9785	1.5736	2.143	2.2502	1.3912	1.1458
Adam18	chr8	-	25712717	25785227	0.05	0.05	0.05	0.0569	0.0585	0.0568	0.0579	0.0589	0.05	0.05	0.0715	0.0686	0.05	0.05	0.05	0.05	0.05	0.0592
Exoc8	chr8	-	127414198	127421605	1.6569	2.0523	2.1094	2.9047	2.0309	1.7913	2.6704	2.8249	3.686	3.2776	2.7206	2.4477	2.4052	2.2771	2.4053	2.3937	1.966	1.8266
Adam29	chr8	-	58349708	58385761	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Defb15	chr8	-	23040284	23043182	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Tecr	chr8	-	86095596	86118390	72.9163	68.3542	90.4317	95.2343	101.7154	99.9219	61.9748	56.7474	48.2356	51.8629	77.4355	79.3803	64.2021	67.7513	68.4618	75.5644	84.5543	98.4204
Ctxn1	chr8	-	4257645	4259274	1.8686	2.4961	3.2062	3.3472	3.2228	4.2161	7.447	7.3943	9.1046	8.3166	8	8.4628	15.6168	13.6107	24.6862	23.0574	12.7691	13.7313
Rfwd3	chr8	-	113794843	113824122	19.6434	19.792	25.4436	24.225	20.9258	20.0231	24.1733	25.0696	27.2459	26.1781	26.6031	26.813	20.8098	18.8353	16.614	19.8493	19.6387	17.6401
Cfdp1	chr8	-	114292372	114378210	67.8398	74.3365	70.9577	71.7637	62.7033	69.2933	89.9874	88.2518	96.6063	93.7241	99.1964	102.711	122.7313	104.4315	98.3945	122.8993	132.8977	120.253
Cyp4f18	chr8	-	74512380	74533525	0.05	0.05	0.0688	0.0692	0.0974	0.05	0.061	0.0747	0.05	0.05	0.0798	0.0757	0.05	0.05	0.05	0.05	0.0613	0.0627
Chst5	chr8	-	114413034	114434099	0.1008	0.0876	0.0831	0.0669	0.0812	0.0998	0.108	0.0717	0.083	0.0892	0.1287	0.1066	0.2383	0.2905	0.0832	0.0708	0.3577	0.2513
Nrg1	chr8	-	32928499	33028675	0.1591	0.2315	0.1412	0.2056	0.2704	0.3555	1.6771	1.6006	1.4988	1.221	1.6995	1.6536	1.7827	1.4639	1.5972	1.9867	2.5247	2.7772
Ces5a	chr8	-	96038094	96059607	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0703	0.05	0.05	0.05	0.05
Nacc1	chr8	-	87194377	87211761	33.9964	41.3665	49.0298	47.1362	40.5277	51.9143	58.3003	64.1841	72.4262	69.7026	65.282	63.308	33.5923	33.205	33.5914	38.2198	34.8261	38.9359
Anxa10	chr8	-	64536317	64601915	0.05	0.05	0.05	0.05	0.05	0.05	0.1359	0.0661	0.1153	0.1225	0.1537	0.1003	0.05	0.05	0.05	0.05	0.05	0.05
A930013F10Rik	chr8	-	23744856	23747281	2.1052	2.5533	2.1864	2.8103	2.3771	3.6067	3.489	3.1991	3.0637	2.8935	2.9388	2.9487	2.2946	2.3957	2.1597	2.4529	2.1011	2.5668
Nek3	chr8	-	23238754	23276907	2.6891	2.825	4.0435	4.0896	3.0388	3.0899	2.1023	2.3487	2.9394	2.4711	2.6749	2.7953	3.3828	2.8879	3.736	4.0825	3.1789	3.2489
Cars2	chr8	-	11514016	11550771	5.6861	7.1138	7.6214	7.6845	7.883	8.2978	5.0531	5.3378	5.2904	5.088	5.5746	5.2938	4.1617	4.1311	2.6766	3.5375	3.2161	2.7992
Gm6524	chr8	-	11692981	11694514	0.0714	0.0856	0.0709	0.1995	0.2209	0.1233	0.0622	0.0637	0.0639	0.05	0.0721	0.05	0.05	0.05	0.064	0.0763	0.05	0.05
Gab1	chr8	-	83288332	83404378	32.2514	34.8743	38.3807	39.1443	32.5569	39.095	16.936	11.0212	28.6975	26.2297	14.7774	18.6179	12.7284	13.103	9.1737	7.9838	11.4365	10.7534
Vps35	chr8	-	87784290	87823396	32.6833	31.2731	37.2266	36.5053	30.1006	30.08	45.8787	49.4407	52.1978	47.0955	49.1053	47.212	52.0521	51.762	48.8671	49.6701	52.7354	50.2201
Cox4nb	chr8	-	123177813	123192012	8.5645	9.6958	12.7173	11.3565	10.7054	13.2333	12.8012	11.185	14.5498	14.9769	14.2031	14.353	8.1616	6.9897	7.1796	8.0079	7.4116	7.0391
Smad1	chr8	-	81862297	81923367	3.3235	2.7181	4.0514	3.8445	2.5586	3.083	6.3504	7.9192	9.2585	8.4798	7.4354	7.2128	9.1522	9.6961	12.2328	11.6574	10.5381	12.2752
Gdf15	chr8	-	73153292	73155534	6.1903	5.1639	5.5668	6.9044	3.6756	4.4803	0.602	0.574	1.1114	0.9762	0.612	0.656	0.3231	0.3362	0.0895	0.143	0.1209	0.1898
Tubgcp3	chr8	-	12614276	12672100	5.9805	6.1366	7.1312	7.8271	6.8713	7.2555	6.6501	7.9427	8.3941	8.2162	8.4017	7.8456	10.5665	9.7788	9.7939	10.1671	10.9177	10.3762
Wwc2	chr8	-	48912963	49075905	14.6408	12.9104	19.44	18.4962	9.139	6.929	8.2555	8.3403	14.7873	13.929	8.2565	8.6621	8.2908	10.1465	7.8596	7.6144	8.653	10.4345
Acd	chr8	-	108222058	108224995	9.0467	10.4705	10.7996	11.5808	9.2292	9.3939	11.0329	11.7277	12.6996	12.1208	11.0459	11.0837	10.1346	9.34	9.3184	9.9968	8.4054	8.6616
Arglu1	chr8	-	8666575	8690537	42.7784	54.0448	48.094	56.9196	53.4266	57.0724	61.2679	65.6202	67.4929	67.4043	64.1276	64.6451	52.7155	49.0737	49.539	52.2695	50.6289	55.4721
Cmtm4	chr8	-	106872092	106919707	5.2956	5.6281	7.7223	8.3536	6.4936	6.5104	12.8599	11.8612	13.2855	13.1749	12.4302	12.8061	8.1588	9.2996	7.3782	7.5053	8.1444	9.9142
2700090O03Rik	chr8	-	34852583	34858242	0.05	0.081	0.05	0.05	0.05	0.0774	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Ces1c	chr8	-	95622914	95655182	0.05	0.0599	0.05	0.0678	0.061	0.0587	0.0602	0.05	0.05	0.05	0.0592	0.0619	0.05	0.05	0.05	0.061	0.05	0.05
Mir1186	chr8	-	32213392	32213514	0.05	0.05	0.05	0.05	0.3804	0.05	0.05	0.05	0.05	0.2053	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Xkr5	chr8	-	18932728	18950973	1.2063	1.5665	1.5604	1.5031	1.6809	2.3308	2.7464	2.6466	2.7469	2.7222	3.1242	3.1045	2.0291	1.898	1.1553	2.1196	2.384	2.2375
9330175E14Rik	chr8	-	96957026	96959003	0.05	0.0618	0.0708	0.05	0.0631	0.05	0.05	0.05	0.0639	0.05	0.083	0.0642	0.05	0.05	0.05	0.05	0.0625	0.05
Defb39	chr8	-	19052825	19064810	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
1810029B16Rik	chr8	-	69000244	69010406	17.8305	22.2512	17.0097	22.1019	19.1487	25.6777	30.435	31.7803	34.7129	35.5173	34.6858	32.1529	28.4551	24.1474	16.1045	26.0313	26.8792	25.0349
Csmd1	chr8	-	15892544	17535385	0.0707	0.0538	0.0567	0.05	0.0599	0.0534	0.0565	0.0633	0.053	0.05	0.0571	0.0592	0.0532	0.0518	0.0575	0.0542	0.05	0.0515
Clcn3	chr8	-	63389185	63462108	18.5512	18.7791	17.6922	18.2374	19.4502	19.9421	17.0019	15.5268	20.1077	18.7992	19.4711	20.3055	12.2141	12.7596	9.5583	10.3182	14.003	19.0405
Mir1199	chr8	-	86535413	86535532	5.8362	2.7992	1.6624	1.8379	2.5905	2.0746	1.1499	1.1107	0.7662	0.6868	0.4766	1.3381	1.581	3.7437	1.6689	1.0666	1.1796	3.1419
B930025P03Rik	chr8	-	10870421	10882454	0.05	0.05	0.05	0.05	0.05	0.05	0.0561	0.05	0.05	0.05	0.0555	0.0642	0.0574	0.0584	0.05	0.05	0.05	0.05
Ankrd11	chr8	-	125407721	125566184	26.2034	30.6238	33.3681	36.1809	39.687	44.1283	35.8775	37.7534	43.8843	43.0559	40.526	40.717	29.5615	30.3082	26.8755	28.8664	29.8319	33.8917
Nr2f6	chr8	-	73898017	73905851	3.0657	3.631	2.1262	2.7506	3.0577	4.0111	9.0199	9.1555	10.6746	10.1368	9.3422	9.2813	17.1564	14.1437	16.3892	17.5307	16.2236	13.994
Siah1a	chr8	-	89247836	89269905	6.3776	5.712	6.4186	6.0407	5.0002	4.7565	7.9762	9.1473	7.8696	6.9933	7.8247	8.1594	11.3346	10.2992	10.1187	10.0882	9.5564	9.7375
Arhgap10	chr8	-	79774264	80041806	1.8416	1.2465	3.1658	3.4977	2.0668	1.6784	3.7552	3.6924	5.8852	5.8928	4.3889	4.1154	6.6769	6.6544	5.6939	5.6448	5.7771	6.1767
Psd3	chr8	-	70212980	70498473	0.1	0.0916	0.0961	0.0985	0.0637	0.069	0.4682	0.5562	0.6023	0.6358	0.3897	0.3802	1.1613	1.0948	1.051	1.1056	1.2523	1.1409
Cmtm1	chr8	-	106817441	106834045	0.05	0.0661	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.1258	0.05	0.05	0.05
Rnf166	chr8	-	124990046	124999964	4.0221	4.1478	3.8703	3.9602	4.2211	3.6353	4.5594	4.9112	4.2086	4.0449	4.3776	4.3977	6.858	6.7931	6.3289	6.6313	6.5339	6.6776
Prss54	chr8	-	98083191	98099097	0.05	0.05	0.0778	0.05	0.05	0.05	0.05	0.05	0.0685	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Gas6	chr8	-	13465373	13494535	2.9331	3.6178	6.3645	4.6827	4.0374	4.9372	4.4776	4.1553	4.3393	3.9951	3.8219	4.0023	2.6322	5.624	5.2591	3.8445	3.479	8.6137
Chrna6	chr8	-	28513683	28524416	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0657	0.0589	0.0721	0.1541	0.0897	0.0723
Slc25a4	chr8	-	47292697	47296363	57.1251	39.1193	30.9278	30.1556	45.6216	59.8987	77.4546	66.4813	87.7889	78.2638	68.441	69.9938	180.4067	168.8757	178.6536	188.4025	165.3649	152.9242
Rnaseh2a	chr8	-	87480508	87489910	14.4551	15.771	17.5574	15.407	16.2703	18.1154	12.72	12.6272	10.8077	12.052	14.6119	15.4024	12.4734	11.5359	11.1091	13.8302	14.19	12.7562
2410022L05Rik	chr8	-	13884787	13890271	12.8056	14.9392	15.4416	15.7221	14.3994	16.8326	21.08	20.8252	19.205	17.4348	21.2122	22.3853	19.0759	14.2998	13.0751	15.4106	14.9678	11.87
Adrb3	chr8	-	28336247	28340060	12.6375	10.9096	17.9791	15.6723	17.897	16.6115	1.1338	0.9607	2.3446	1.6292	1.17	1.2096	0.9219	1.1508	0.2798	0.389	0.8676	1.3044
Ces1f	chr8	-	95780134	95803635	0.05	0.0595	0.0667	0.0585	0.05	0.0584	0.05	0.072	0.05	0.05	0.05	0.05	0.0619	0.05	0.05	0.0605	0.06	0.05
Gm15319	chr8	-	19933241	19958780	0.1283	0.0717	0.1009	0.0956	0.0981	0.0819	0.0946	0.0751	0.0754	0.0651	0.0702	0.0674	0.0772	0.1117	0.1266	0.066	0.0882	0.0586
Kcng4	chr8	-	122147753	122159580	0.1103	0.0739	0.092	0.0715	0.103	0.1091	0.0598	0.0611	0.0668	0.0749	0.0678	0.0845	0.05	0.05	0.05	0.0553	0.055	0.05
Zswim4	chr8	-	86734840	86760941	2.9005	3.2394	3.0288	2.9897	3.304	3.0976	9.3003	10.443	10.5564	10.585	10.69	10.6164	7.954	7.519	10.1376	10.6181	8.1768	7.5364
Mthfsd	chr8	-	123621456	123632279	2.5856	1.8571	3.2689	3.0165	2.4415	2.3041	2.2228	2.0814	3.4413	2.9412	2.3071	2.1825	5.7808	4.7367	5.9445	5.9981	5.9511	5.4076
Calr3	chr8	-	74948081	74967677	0.7716	0.6451	0.3933	0.4805	0.9263	0.9639	0.5719	0.3436	0.3245	0.2432	0.5677	0.7082	0.9668	0.8133	0.3258	0.3639	1.019	1.0956
Adam34	chr8	-	44735662	44750914	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
4933436C20Rik	chr8	-	94849931	94880019	0.6039	0.4009	0.333	0.3133	0.9256	0.8511	0.5915	0.3377	0.4785	0.4005	0.7851	0.8428	1.4608	0.8821	1.686	1.591	2.4756	2.331
Abcb10	chr8	-	126476358	126507022	3.3852	3.0215	3.3846	3.7633	4.9459	5.052	2.929	3.3185	4.2015	4.0182	3.74	3.8591	3.0912	5.6944	4.6981	2.8501	2.8463	4.453
Rbm34	chr8	-	129471072	129494979	6.5962	8.0119	8.5785	8.7696	7.3987	8.6309	10.6336	10.5228	14.2836	13.235	9.9236	9.7833	8.9513	7.684	7.3434	7.901	7.2648	7.5503
Mir383	chr8	-	39315186	39315256	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Erich1	chr8	-	14027564	14090327	8.5015	8.0038	8.1917	9.2021	6.9682	6.8856	5.4973	6.0988	6.797	6.8645	6.2441	6.5543	6.4251	5.7157	5.2829	5.9876	6.2405	6.9856
BB014433	chr8	-	15041445	15046078	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Helt	chr8	-	47377401	47380025	0.05	0.05	0.05	0.05	0.0632	0.05	0.111	0.0775	0.0778	0.0747	0.05	0.05	0.05	0.0838	0.05	0.0895	0.0625	0.0641
Cpe	chr8	-	67071348	67171837	2.3842	1.04	4.3893	3.4749	1.427	1.5771	5.5086	6.3522	6.0053	5.2272	5.3617	4.5908	11.7364	8.9198	6.5444	8.6621	11.0604	7.2678
Brd7	chr8	-	90856209	90886090	14.4382	16.2543	15.7834	16.4919	12.7635	13.5634	25.6204	25.6057	24.1978	24.0534	23.2758	24.9144	26.7353	24.1713	22.278	25.4444	27.0086	25.5923
Triml1	chr8	-	44215160	44226840	24.7211	21.4378	41.5197	40.027	13.2975	14.6183	1.7885	0.9711	2.9869	3.0605	1.2482	2.2517	0.3578	0.3155	0.0963	0.0936	0.2991	0.1085
Dcaf15	chr8	-	86620970	86628661	13.5228	13.0447	14.4076	13.7968	15.4013	14.7222	13.6614	13.344	15.4127	14.2496	14.417	14.7405	11.5751	12.1057	9.0124	10.3492	11.388	12.5939
Slc35e1	chr8	-	75001893	75016513	5.3305	5.6843	6.1602	6.8627	7.0865	8.9023	5.0059	5.6319	6.8431	6.184	5.7121	5.2683	4.9878	5.0821	4.6211	4.9866	4.3531	4.5455
4632415K11Rik	chr8	-	122284486	122302316	2.1391	2.0765	2.3485	2.0719	1.6708	1.3354	2.7887	2.4284	2.4671	2.5964	2.3049	2.6108	4.3854	4.7009	3.5844	3.2302	3.6536	4.0608
2310022B05Rik	chr8	-	127159655	127187269	3.3516	3.1058	4.6337	4.0487	3.402	3.8043	9.6961	9.7449	11.0288	10.6131	12.0643	11.9229	10.5384	11.4729	9.261	9.8903	14.4922	16.3198
Ces1a	chr8	-	95544113	95572091	0.05	0.05	0.0662	0.05	0.05	0.0581	0.0594	0.05	0.0608	0.0787	0.05	0.05	0.05	0.05	0.0824	0.0602	0.0888	0.0609
Gm17296	chr8	-	128950551	128998965	2.2078	2.2483	2.6223	2.6537	3.1329	2.9068	3.1282	3.2098	3.7429	3.5879	4.1767	4.3172	3.2816	2.9473	2.8971	3.8952	3.572	4.1177
Hook3	chr8	-	27131892	27229696	4.1805	3.4837	4.106	4.2843	3.4494	3.1257	7.3817	6.0256	4.6995	4.8346	8.5753	9.3341	6.4497	6.1937	7.5278	7.0148	7.3944	7.9815
Unc5d	chr8	-	29757188	30330108	0.0607	0.0638	0.0777	0.0749	0.0566	0.0605	0.0642	0.0751	0.0985	0.0993	0.0885	0.0833	0.0772	0.0612	0.115	0.1112	0.075	0.0664
Rpgrip1l	chr8	-	93740928	93837121	1.0521	1.3227	1.0045	1.0762	0.9436	0.9488	1.3298	1.4779	1.1598	1.2297	1.1693	1.1058	2.8278	2.2761	2.2339	2.4195	2.4722	1.9196
Ddx19b	chr8	-	113527085	113555651	5.4079	4.6113	5.1999	5.6993	6.2307	5.2183	5.5792	6.302	6.9755	6.648	5.9737	5.7306	4.7871	4.819	4.309	4.9158	4.9065	5.0455
Sall1	chr8	-	91551142	91568061	27.486	25.8812	35.5585	27.9057	22.1678	24.6894	28.0586	21.2476	27.3242	27.9394	24.1764	26.9147	12.4641	12.3828	22.9629	34.8661	14.6649	23.966
Klhl26	chr8	-	72974126	73000842	3.3299	1.8622	4.9579	4.8227	2.4142	1.6357	3.8336	3.9504	6.9718	6.2103	3.0218	3.3109	6.1276	6.1917	5.902	6.9219	5.5002	6.2488
Ano8	chr8	-	73999917	74009966	1.1409	1.5932	0.9267	1.2784	1.9544	1.8156	2.5285	2.8274	2.914	2.7476	3.2478	3.2558	3.19	2.4931	3.6851	3.388	2.8051	2.6193
Ddx49	chr8	-	72816764	72826351	11.5416	12.3918	13.1464	12.3946	11.8452	13.0369	14.0561	13.8146	15.9287	14.9254	14.1914	13.627	12.565	11.2912	10.3453	12.4834	12.3314	11.191
Gm15881	chr8	-	61178642	61179593	0.05	0.05	0.05	0.05	0.05	0.05	0.0697	0.0721	0.05	0.05	0.1034	0.073	0.2176	0.1044	0.095	0.1348	0.151	0.0955
Ciapin1	chr8	-	97343718	97362240	10.4792	10.9358	13.5042	12.7652	8.096	8.7491	12.0921	11.9742	14.2251	13.5594	11.2214	11.0093	10.7949	9.7744	11.1885	11.8463	8.3735	7.8547
Defb12	chr8	-	19111930	19114833	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Dhx38	chr8	-	112071923	112089501	8.7988	11.5798	11.6741	13.2833	12.4698	13.7848	16.3342	19.039	21.6061	20.0291	18.4656	17.4328	13.72	14.1381	12.2499	13.822	13.4562	14.0534
Dbndd1	chr8	-	126028617	126039355	0.1122	0.1051	0.0864	0.0997	0.0882	0.1109	0.5605	0.6483	0.5348	0.4451	0.6917	0.432	0.9223	0.9325	1.4625	1.3039	1.0696	0.8051
Asah1	chr8	-	42425996	42460051	56.2317	40.9947	43.9632	41.5064	62.555	49.7974	30.3696	29.6109	24.1303	23.4457	30.0363	31.5016	23.7551	25.9404	19.6207	18.2687	25.2601	28.4618
Ccdc102a	chr8	-	97426768	97441998	1.0462	1.4778	1.2576	1.1794	0.9073	0.9911	2.0383	2.4149	3.6381	3.3964	3.0391	2.7778	2.3729	2.8219	3.757	2.9816	2.5422	3.7793
Msr1	chr8	-	40667053	40728032	0.05	0.05	0.05	0.05	0.055	0.05	0.05	0.0553	0.05	0.05	0.05	0.05	0.0614	0.0565	0.0661	0.0752	0.05	0.05
Mir3074-2	chr8	-	86732723	86732806	0.05	0.05	0.05	0.05	0.5357	0.05	0.05	0.5569	0.3067	0.5065	0.2539	0.05	0.05	0.9846	0.05	0.05	0.05	0.3108
Kctd19	chr8	-	107906711	107937387	0.2016	0.1761	0.5147	0.3311	0.2563	0.225	0.5872	0.4043	0.2541	0.2502	0.5194	0.4767	0.1327	0.1269	0.0641	0.0633	0.2022	0.1501
Htra4	chr8	-	26135399	26149434	0.0801	0.0583	0.094	0.1025	0.087	0.0721	0.0757	0.0886	0.0891	0.0934	0.0578	0.0902	0.0918	0.0856	0.0598	0.0592	0.1028	0.0996
Agrp	chr8	-	108090597	108092198	0.2484	0.215	0.3403	0.3224	0.3549	0.2687	0.1632	0.05	0.1145	0.05	0.3316	0.2819	0.0845	0.1282	0.05	0.05	0.2243	0.1155
Cmtm2a	chr8	-	106804941	106817081	0.2617	0.2177	0.345	0.3369	0.1801	0.3167	0.1362	0.2441	0.2466	0.2422	0.2842	0.3328	0.134	0.1454	0.4252	0.2918	0.3512	0.2696
B930018H19	chr8	-	35652473	35703370	0.05	0.05	0.0651	0.05	0.05	0.05	0.0764	0.0599	0.0701	0.0589	0.0899	0.0603	0.05	0.05	0.05	0.05	0.0591	0.05
Ldhd	chr8	-	114150170	114154222	0.7439	0.7947	1.1299	0.9048	0.7397	0.4839	0.1426	0.1258	0.405	0.3144	0.3014	0.3557	0.1013	0.0966	0.0693	0.0591	0.1278	0.0597
Defa-rs1	chr8	-	22465566	22466699	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Pcid2	chr8	-	13077524	13105343	7.5663	8.0885	8.1644	8.7835	9.0141	8.9079	10.3854	10.8745	12.5262	11.6774	11.2934	11.0356	7.6162	7.6629	6.7438	7.7616	7.6901	8.3998
Eri1	chr8	-	36528318	36558587	7.304	7.1737	8.381	8.3153	7.0227	7.4484	9.1354	9.0014	11.2817	10.993	9.1936	9.4153	9.7899	9.0003	8.5076	9.5323	8.6837	8.4774
Ctrl	chr8	-	108455893	108457762	0.1977	0.4389	0.3741	0.3633	0.5039	0.665	0.408	0.6186	0.4339	0.5833	0.4883	0.3706	0.2808	0.3121	0.1705	0.2543	0.2663	0.1719
Gcdh	chr8	-	87410285	87417820	7.5053	8.3069	8.3497	9.2817	12.7519	11.1537	4.585	4.7368	4.7577	4.5662	7.2009	7.5138	3.9939	3.6368	5.1532	4.2084	4.7959	4.2255
Calr	chr8	-	87365986	87370830	167.0804	197.4424	197.4409	255.0734	304.1108	367.9043	155.3157	165.6217	191.7903	183.6864	171.1269	167.7084	156.9031	163.7557	219.2333	184.1261	156.6177	180.8349
Gm16793	chr8	-	36645556	36652074	0.05	0.05	0.05	0.0595	0.05	0.05	0.0716	0.0622	0.05	0.0939	0.0794	0.05	0.0632	0.0949	0.0872	0.0617	0.1056	0.075
Sgcz	chr8	-	38585607	39724562	0.0774	0.0576	0.0902	0.05	0.05	0.05	0.05	0.0588	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.0591
Rbpms	chr8	-	34893115	35040313	37.308	35.1158	36.5964	33.431	27.7925	31.397	74.8844	69.7174	81.5357	81.8162	76.3516	77.8196	30.6594	36.7687	50.4812	37.8662	26.8719	40.0344
Cd209f	chr8	-	4102792	4105764	0.05	0.05	0.05	0.0795	0.1227	0.0934	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
Spcs3	chr8	-	55605786	55615351	19.1742	15.2616	18.5086	18.4044	17.3777	18.3134	17.9228	17.6268	20.4899	19.5022	16.3023	16.1594	22.1802	21.675	19.0467	22.1908	24.8074	25.4656
Ikbkb	chr8	-	23769676	23817055	4.8663	5.0728	4.7263	4.8219	4.5574	3.7802	4.3102	5.0658	5.5718	4.7421	4.0209	3.6144	6.2534	5.7698	6.1357	6.0489	6.1662	5.6397
Neto2	chr8	-	88160486	88214908	0.2533	0.2592	0.1916	0.1891	0.4641	0.5848	0.8614	1.22	1.6086	1.1337	1.066	1.0235	2.3169	1.7307	2.4234	2.7033	1.5704	0.9125
Mphosph6	chr8	-	120315544	120325829	31.2519	27.6405	35.2457	32.7042	28.5991	28.9426	24.5851	21.6464	29.7665	30.4067	27.3585	28.119	25.7629	21.7602	22.634	23.1009	26.1048	24.9168
Mir181c	chr8	-	86702771	86702860	2.6289	0.8669	0.4093	0.4178	0.2765	0.5914	0.05	0.2864	0.05	0.05	0.2401	0.05	0.05	0.05	0.2905	0.05	0.05	0.2932
Zfp319	chr8	-	97850035	97855850	1.2395	1.2847	1.4983	1.5085	0.948	0.75	1.5752	2.0528	1.9384	1.6967	1.4467	1.3243	4.2588	3.9344	4.0008	4.1934	3.3559	3.4437
Cdyl2	chr8	-	119092623	119256891	11.6985	10.0714	13.2776	12.4696	10.6843	10.5009	1.0835	0.6197	1.5492	1.3571	0.7761	1.0898	0.8132	0.7086	0.6906	0.6957	0.9476	0.9439
Npy5r	chr8	-	69203863	69211993	0.05	0.05	0.05	0.05	0.05	0.05	0.0904	0.1682	0.1421	0.1401	0.0866	0.1446	0.0697	0.0612	0.0593	0.05	0.0749	0.0687
Tnks	chr8	-	35892232	36028744	10.089	11.2078	13.211	13.4775	11.4159	11.0543	12.9364	13.0891	15.3755	14.4107	14.3612	15.6922	15.7489	21.9939	40.3541	25.5815	16.8491	29.0551
Cog8	chr8	-	109572608	109580637	7.9666	9.3363	10.8112	10.3876	9.8782	10.9053	9.1504	10.0688	11.1592	10.7914	8.9932	9.0945	6.9126	7.4971	6.7852	6.6047	6.8955	7.1683
